surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
mun,756.9699598,3773.856631,4.1236053,3.9056351,0,0,0,136.9232624,59.58986405,286.7456069,well
mun,933.426068,3617.432193,1.7617657,1.5197039,0,0,0,30.30708691,14.51769676,510.0121878,well
mun,1102.897734,4016.527239,3.6649203,2.8956463,0,0,0,31.00014767,8.924975126,521.5339693,well
mun,965.9039308,3940.905868,1.4710374,1.7631425,0,0,0,47.31671061,23.96972559,496.2361742,well
mun,1083.523254,3864.904953,4.2195215,5.3891368,11.19161768,3.661717138,487.2138704,17.25022804,11.10788163,485.0643971,well
mun,860.3414006,3780.660079,1.8091791,1.8070136,0,0,0,114.8261402,52.22997088,538.3307106,well
mun,1064.147169,4084.34803,4.1629467,5.1377578,14.63534159,4.382043292,502.0597713,17.3694981,15.36515938,508.224362,well
mun,1084.101736,2998.557111,5.3529453,6.3974223,59.65082203,20.2076291,295.910907,122.4381835,67.25832491,304.9328708,well
mun,637.4652511,2864.607753,12.656712,8.1082058,49.62055672,12.91372582,481.2310823,76.99724505,50.77836611,316.0870694,well
mun,676.4940756,2855.017103,8.3536549,6.3584366,19.3913834,7.250626372,308.3939123,48.80738304,26.92220668,291.3642204,well
mun,1024.389228,3348.36461,0.7789371,0.75945067,0,0,0,23.74041485,6.344891,281.4808457,well
mun,629.9987614,3090.455373,0.95071507,0.82395309,0,0,0,26.64915915,7.260430114,288.2168325,well
mun,2199.510519,2906.398132,0.68872559,0.61241651,0,0,0,11.20333327,8.287748998,325.6242537,well
mun,1870.570224,3215.057566,0.88645667,1.440492,0,0,0,24.93377867,8.64288392,285.7164908,well
mun,1693.187439,3110.588479,2.7773223,1.7192948,0,0,0,201.9978396,216.719441,241.5866376,well
mun,2264.188719,2991.438422,2.5839138,2.2550521,0,0,0,32.07865138,6.479963167,300.1828457,well
mun,2272.617151,2937.30285,8.6091156,13.073102,83.43284593,24.61337571,298.8382654,0,35.23541404,0,well
mun,1743.423639,3477.560649,1.2463716,1.3102881,28.68883372,2.4696848,289.0748515,52.83488977,25.96480186,283.4919034,well
mun,1737.035914,3415.402843,4.7754822,3.6518393,8.635202299,3.531818968,465.7621117,13.03922785,21.27960273,480.6147699,well
mun,1661.544883,3022.831497,4.1447458,3.063508,10.1784753,3.298895212,4.905005465,11.51872713,11.65526295,0.124353637,well
mun,1544.609158,3231.233938,2.6373243,2.3138604,11.5307184,5.638775188,329.5921234,14.31069026,13.93355436,339.1088583,well
mun,2106.523732,3036.812557,2.2440968,2.684942,30.19403767,3.155553441,333.8066497,17.75440596,29.12200501,330.4061031,well
mun,787.4386707,2405.953797,0.6139158,0.86092019,0,0,0,15.5168835,11.44939756,299.5887961,well
mun,607.327694,2757.260038,7.6779952,9.5625944,24.4232152,11.47533497,274.7174146,64.95366364,12.1652809,271.9600609,well
mun,384.5969924,2080.223827,12.774037,11.612147,54.77722508,16.54005974,295.3845124,104.1822161,50.99947178,289.5244832,well
