surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
bishop,598.8885552,3269.959177,5.673292877,4.777412174,0,0,0,83.05192021,106.7175847,128.7234347,well
bishop,981.3879271,3206.509186,4.47891536,3.732353311,0,0,0,82.20522677,66.52693324,194.9451789,well
bishop,917.4884629,3845.48769,5.374698432,4.926706751,0,0,0,92.69955563,72.0009353,172.7832559,well
bishop,1158.775776,3219.659771,3.800485367,5.911746212,0,0,0,88.13161239,134.5160617,99.23663575,well
bishop,1,3346.445451,4.328330939,4.328242568,0,0,0,71.73891434,57.364537,159.8580554,well
bishop,1106.349544,2476.012901,6.419778462,5.673177254,0,0,0,99.13188128,102.5587665,180.1725276,well
bishop,1232.804071,2489.897175,5.673292877,4.329530031,0,0,0,113.6206947,99.76658936,183.0128443,well
bishop,1319.993509,2609.481691,4.329617872,3.732353311,0,0,0,64.25506397,45.41291642,161.8595251,well
bishop,975.5079069,1526.78929,6.545280649,5.489478644,0,0,0,126.091345,79.14159692,176.3517902,well
bishop,452.5025162,3380.511612,6.793021651,8.285824545,0,0,0,104.0127076,12.67968028,170.4580209,well
bishop,448.2474873,3732.770698,6.718372907,6.867529901,0,0,0,72.87232964,92.27572236,268.8262222,well
bishop,12149.3628,11903.81265,5.863815356,4.723532956,0,0,0,78.41413871,95.27757616,140.2244789,well
bishop,12914.37636,10533.92617,3.570462716,4.261433164,0,0,0,114.2100451,85.92903478,166.9448746,well
bishop,12946.51,10619.03945,4.376696241,4.146259252,0,0,0,37.06389234,76.33867011,263.9353318,well
bishop,12566.08443,10938.99291,3.570462716,2.764172834,0,0,0,89.48903146,70.46385,172.3081451,well
bishop,12618.72011,11039.30915,3.224933835,3.340042395,0,0,0,120.7919544,125.7420057,166.5466326,well
bishop,12742.53373,10983.45005,2.188348173,2.533825275,0,0,0,104.6422038,71.88291707,177.8589038,well
bishop,12802.85343,11007.31838,2.931907546,2.768967878,0,0,0,87.03185883,97.01360454,171.1725129,well
bishop,12933.38085,11092.5195,3.455286687,4.722129077,0,0,0,65.4983491,137.3841401,250.4822796,well
bishop,12883.74052,11172.91155,2.87940522,2.418651442,0,0,0,67.71627966,67.92468548,173.3584199,well
bishop,12243.51212,11268.9045,5.538048468,5.049293759,0,0,0,74.87838212,71.01568487,168.2007011,well
bishop,13093.76385,10604.52864,3.512874569,3.109694571,0,0,0,52.82843127,65.5461351,150.1920841,well
bishop,13144.72815,10783.73833,2.87940522,2.533825275,0,0,0,90.87417347,79.2968088,154.473562,well
bishop,13067.53914,10731.39952,5.049396682,4.072011352,0,0,0,93.55206117,78.94422467,197.4258773,well
bishop,13047.01541,10786.77892,5.700932044,5.700815892,0,0,0,113.5145643,135.7037943,127.8888868,well
bishop,13219.99919,10695.72813,3.746327014,3.257608817,0,0,0,64.49716865,62.56118989,171.8701636,well
bishop,13249.96934,10661.52359,3.746327014,2.931848014,0,0,0,52.82253075,42.34683042,177.5250947,well
bishop,13071.36211,11026.40992,2.764229191,1.727608127,0,0,0,54.96132006,42.2405343,163.6908866,well
bishop,13119.04399,10917.34047,2.764229191,2.994520659,0,0,0,54.6977257,69.26984278,122.6187762,well
bishop,12294.65608,11169.05948,6.189583302,6.189457096,0,0,0,86.34861905,111.9029551,262.8483737,well
bishop,13201.42968,11290.56726,5.049396682,3.583370148,0,0,0,69.49767171,82.06818201,205.8452065,well
bishop,13495.59765,11293.17393,5.375164098,5.863696294,0,0,0,64.97832005,104.1878202,247.2923241,well
bishop,13295.90259,11179.64599,7.981305021,5.375054561,0,0,0,81.49278648,79.74936007,177.9389822,well
bishop,13350.14217,10931.74174,5.863815356,5.049293759,0,0,0,57.89491022,45.1681205,174.8351803,well
bishop,13249.96934,11038.75432,4.072094166,2.931848014,0,0,0,64.22372759,96.84016994,261.5414228,well
bishop,13376.52907,10801.60088,4.234977742,4.234892017,0,0,0,76.74834779,117.2962792,136.8913266,well
bishop,13327.97485,10676.28126,5.298106324,4.952476637,0,0,0,80.39284582,81.13980842,179.671513,well
bishop,13389.94106,10673.05678,3.915991331,4.722129077,0,0,0,84.11511248,95.87114096,181.7269814,well
bishop,13283.2862,10508.70291,3.455286687,3.224868219,0,0,0,63.07064212,58.81510247,184.3990187,well
bishop,12362.25209,10962.68979,3.746327014,3.420489483,0,0,0,113.4639949,92.07156259,186.5945281,well
bishop,13481.61839,10889.12319,4.146343918,4.952476637,0,0,0,57.82876191,67.33375134,178.8580218,well
