surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
brasier,1658.385709,4986.893713,3.648011215,3.73102106,24.04697097,4.553479816,221.3251479,26.8373257,17.37976655,221.0272119,well
brasier,285.8768734,2903.10024,0.567323337,0.39398207,0,0,0,13.76909329,6.478598532,59.91304785,well
brasier,292.9367504,4663.36468,0.787949085,0.851001251,0,0,0,14.75052075,7.565516661,90,well
brasier,446.4260391,6254.553863,0.728892339,0.709206096,0,0,0,7.833396453,4.825942365,264.8066399,well
brasier,367.0785563,6137.862903,2.769503536,2.281027487,0,0,0,12.03566683,10.46589319,199.1895182,well
brasier,399.0008895,6084.617262,1.529411699,2.350658703,0,0,0,11.1994282,7.368041883,132.5818404,well
brasier,436.967711,6038.829338,2.76679288,1.953755448,0,0,0,14.73097822,11.5577568,122.4880828,well
brasier,409.833106,5379.880037,1.943722315,3.02548156,0,0,0,14.42241403,8.74721501,179.0602677,well
brasier,423.6559976,5305.214099,1.788673467,1.666144423,0,0,0,7.571358172,6.383293892,182.3873344,well
brasier,247.7541194,5146.931703,3.388364479,3.230827859,16.72168574,3.230532798,197.837171,13.89125537,11.25026957,183.2527256,well
brasier,380.4672666,4607.257589,4.730665042,6.158907563,41.91578764,9.779328654,206.0190832,35.88927945,17.39047505,201.2396969,well
brasier,11.27482911,4636.468012,0.557861467,0.446297656,0,0,0,4.654552688,2.230001094,194.4304163,well
brasier,443.5053037,4807.645411,2.521533842,2.410007364,8.243035101,1.129007306,153.296776,7.318588433,9.590244944,158.9106615,well
brasier,52.82420179,4698.994292,0.870263923,0.825650728,0,0,0,9.919428976,6.230720849,234.5215709,well
brasier,146.2221179,4043.889138,1.199181512,1.104530371,0,0,0,42.24719819,28.93306828,218.7527668,well
brasier,254.3903986,4976.792265,2.365332495,2.85630539,38.10530412,10.77688143,214.6943559,32.71764939,17.91269058,211.9555567,well
brasier,383.5157958,3380.166715,9.769936113,6.101917636,0,0,0,0,0,0,well
brasier,405.172206,3397.061684,2.786371518,2.539526461,0,0,0,0,0,0,well
brasier,436.7676892,2785.728455,3.191327684,3.342601352,0,0,0,17.55812396,10.97566665,89.51131535,well
brasier,1097.026663,3925.88767,0.512590994,0.557174767,0,0,0,10.20629632,6.779050905,250.6143427,well
brasier,1106.585265,3919.31288,0.846889547,0.71318371,0,0,0,9.791445486,9.646708228,236.8872766,well
brasier,1583.340087,5226.667674,0.668596947,0.71318371,0,0,0,12.73480377,7.591010755,175.9898409,well
brasier,1593.101889,5379.779492,1.827498425,1.738385198,0,0,0,46.38862388,9.991717576,210.3593071,well
brasier,1793.102546,3583.069058,0.356585042,0.156008937,0,0,0,8.663896341,5.51610123,347.8231322,well
brasier,1412.491221,6057.482169,2.005790946,2.094976933,0,0,0,21.1293191,24.07599289,90.48357592,well
brasier,1124.5047,6192.853294,0.802316357,0.891479696,0,0,0,6.839837461,4.921898587,234.54969,well
brasier,913.5841594,6072.236183,1.693779094,2.228699043,0,0,0,48.90724205,10.59123897,208.5275086,well
brasier,1764.205019,6191.120009,1.071610727,1.134668211,0,0,0,14.26469473,5.978775019,153.2089588,well
brasier,1954.447843,6256.74157,1.44982633,1.197705402,0,0,0,16.75973965,8.916370762,134.9998721,well
brasier,929.8078802,6028.041003,0.846889547,1.047488533,0,0,0,8.47308112,3.857761815,160.3346223,well
brasier,2007.082728,6669.666431,0.756431125,0.661889865,0,0,0,11.22341648,7.404017525,218.1563617,well
brasier,765.5259728,4166.209822,1.134646648,1.166186807,0,0,0,18.69690745,21.66725008,117.9462639,well
brasier,714.6108793,4160.725539,4.011581786,3.12017858,0,0,0,91.51497103,84.38650683,114.5181525,well
brasier,1047.549579,3870.092893,8.951100972,8.573049491,32.22767042,13.95925769,200.136271,50.95397214,18.4085563,203.0107439,well
brasier,1258.846357,5030.98462,4.66465838,4.538672793,0,0,0,50.40867639,13.10533246,190.1442522,well
brasier,1831.401513,3635.972945,3.214832209,3.656153238,0,0,0,74.87601784,12.80095715,26.82347231,well
brasier,1843.189494,3779.760677,1.51286225,1.32377973,0,0,0,54.35878994,15.05359989,215.2746616,well
brasier,1795.912606,5039.621202,8.825034688,27.16898814,0,0,0,0,0,0,well
