surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
cpc,769.1597303,3885.41127,6.378442423,6.118038725,0,0,0,124.4718795,44.12804303,268.8014929,well
cpc,634.1706425,3871.74316,4.425858256,5.206841282,0,0,0,110.5788848,51.97523562,102.9164202,well
cpc,418.6704376,4021.049116,2.798704431,2.473249589,0,0,0,45.57899065,16.93724411,96.49324321,well
cpc,936.4599978,3623.95691,17.39663993,25.86459633,0,0,0,0,0,0,well
cpc,635.6681841,2960.282933,3.579737992,3.254275636,0,0,0,87.60212649,51.82813532,263.7726899,well
cpc,2119.617345,4264.519746,4.740539371,5.765465044,0,0,0,160.9319557,49.84889319,269.3613227,well
cpc,2023.909355,3901.936085,3.843680757,3.459279027,0,0,0,92.19131181,31.66340543,261.6897667,well
cpc,3091.370237,4063.317624,6.704135232,5.979306047,0,0,0,117.3903283,63.20529694,253.1315457,well
cpc,1110.778602,3843.76903,3.203067121,3.715522153,0,0,0,99.93872206,38.02278424,269.5593419,well
cpc,1322.181735,3892.839446,4.228048621,5.381100885,0,0,0,104.9498873,37.31132661,261.434744,well
cpc,2568.046652,4057.603418,5.253030122,5.381100885,0,0,0,69.32315609,39.28474125,266.3972979,well
cpc,1749.727216,4883.388602,1.902524791,1.811911009,0,0,0,22.87607933,8.746266064,266.3667448,well
cpc,1939.41282,4444.530597,4.292110064,4.228007876,0,0,0,115.1782635,37.87927515,250.4461821,well
cpc,2564.438794,2895.882215,4.878423001,5.79882371,0,0,0,111.3905793,43.12647695,264.214101,well
cpc,1914.545956,2585.520555,5.987925643,5.597354094,0,0,0,128.8918975,44.56111473,268.9583755,well
cpc,2674.16626,2611.294304,4.230599734,3.254275636,0,0,0,135.2579286,40.39097854,90.66170384,well
cpc,2844.171363,1792.779076,6.834045907,4.165473343,0,0,0,110.8102617,38.21203365,91.41358186,well
cpc,2843.291888,3569.880577,2.899439768,2.623277513,0,0,0,42.43557668,11.77101624,90.6216025,well
cpc,2386.054337,3472.727434,4.142056925,3.49770314,0,0,0,120.2894445,32.90876443,262.6140147,well
cpc,1706.665222,3540.564216,4.60228559,4.694285974,0,0,0,82.55527016,37.76030384,265.3957008,well
cpc,2320.886142,3563.943592,4.326148444,4.142016709,0,0,0,199.2257774,33.17961178,260.0136365,well
cpc,2225.788017,3084.075648,4.55603034,4.81632847,0,0,0,91.69262322,34.98766934,265.2768889,well
cpc,2389.67516,3217.240646,4.686202424,4.165473343,0,0,0,80.99916792,27.65653208,253.9536825,well
