surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
mpd,207.5732976,5825.170309,3.325967953,2.975802507,0,0,0,64.66196542,30.06393906,264.9307229,well
mpd,669.0390519,5550.688923,3.465831725,3.837088695,0,0,0,94.21846979,40.31818248,103.4155846,well
mpd,460.3463625,5595.496374,2.228034605,2.227987165,0,0,0,66.97765086,21.98286831,118.8379755,well
mpd,817.9759417,5413.897228,2.275661958,2.18809009,0,0,0,40.75990036,23.65714993,217.0304389,well
mpd,801.7836539,5439.891482,1.83803487,1.575424729,0,0,0,27.20545563,18.40684603,142.3186024,well
mpd,1099.632774,6245.458802,1.750509172,1.750471971,0,0,0,100.1223835,23.72455138,112.7575487,well
mpd,776.4888267,5584.743707,1.400407411,1.137806743,0,0,0,32.4612407,18.38364535,170.6898611,well
mpd,977.7974454,5287.77565,4.026171579,2.450660834,0,0,0,139.0934394,44.07156767,144.8539756,well
mpd,641.3124394,5777.572298,1.732915862,2.475541218,0,0,0,98.68544817,25.10568672,112.6019943,well
mpd,836.5747999,6178.67215,1.79480558,1.547213268,0,0,0,45.06873664,96.25348609,295.3692532,well
mpd,1071.537068,6041.878603,2.888340256,2.275613486,0,0,0,30.17952369,66.60981161,163.1409734,well
mpd,611.8535205,5957.506421,2.363187629,1.750472077,0,0,0,33.53337229,91.89496416,121.1171106,well
mpd,1051.625109,5428.819199,2.406950346,2.932040426,0,0,0,81.15192734,28.95818717,143.2552114,well
mpd,745.7204056,5276.708658,2.537483799,1.918544374,0,0,0,70.40668657,25.92791659,130.1864147,well
mpd,830.5095447,5238.833026,1.609136164,0.92832795,0,0,0,17.02774494,4.90448137,160.9056602,well
mpd,551.373371,6046.605913,1.925560197,1.400377646,0,0,0,42.4071455,29.90553201,287.5377415,well
mpd,768.3490002,5498.531877,2.975866007,2.713231605,0,0,0,73.54548216,21.38847681,186.6840602,well
mpd,598.5461964,6210.111264,1.42346651,1.794767215,0,0,0,37.79772541,9.639709715,146.6216301,well
mpd,778.8315798,5227.074414,1.980475234,2.537429824,0,0,0,72.33315407,17.06971606,106.6050388,well
mpd,946.1505547,5473.081343,1.825750478,1.732878874,0,0,0,52.72020469,13.78668763,104.6883569,well
mpd,620.5183598,6050.280976,2.100611329,1.22533043,0,0,0,90.03413905,28.84740616,102.7244035,well
mpd,705.9432662,5909.54355,1.925560197,1.575424729,0,0,0,67.55902361,19.07633586,129.7455783,well
mpd,626.7063551,5580.024599,1.980475234,1.980433085,0,0,0,85.23647814,42.04790039,196.5352569,well
mpd,560.3604199,5566.161756,2.475593976,2.970649747,0,0,0,72.75698167,36.73868232,249.5586669,well
mpd,134.8059251,5009.722389,1.856695535,1.17588203,0,0,0,36.4254883,10.53950725,133.3472558,well
mpd,285.6460685,3242.34865,4.376273525,3.500944049,0,0,0,127.8680445,40.34799298,265.1697677,well
mpd,616.4922482,3211.628145,1.750509436,1.662948416,0,0,0,60.55317589,87.26978467,95.64073829,well
mpd,681.5239452,3233.946542,2.363187629,2.800755239,0,0,0,27.33485933,29.52604226,182.5693113,well
mpd,664.8939573,3424.572741,1.83803487,2.100566535,0,0,0,93.16772681,31.65374954,180.3220068,well
mpd,724.5863099,3452.055275,1.662984003,2.100566535,0,0,0,53.35917424,30.67442919,130.1558103,well
mpd,539.0323846,3657.735737,2.538238761,2.450660834,0,0,0,116.7993084,37.68091059,97.39375207,well
mpd,680.3860253,3760.400681,3.325967953,2.363137173,0,0,0,69.02920418,25.05118498,203.1621158,well
mpd,782.3531838,3899.301369,2.363187629,3.150849511,0,0,0,100.7740855,47.53092002,94.38330971,well
mpd,600.8363767,4029.903137,2.475593976,2.537429824,0,0,0,28.98147146,38.25083408,226.5582345,well
mpd,611.240772,4820.486575,2.975866007,2.538184521,0,0,0,81.91299485,20.53971229,222.8797815,well
mpd,788.1151207,4287.173907,1.485356491,1.361547768,0,0,0,77.5564314,5.842801226,230.8272507,well
mpd,892.585211,4448.82638,5.19874719,5.693745018,0,0,0,51.50622994,225.6166736,181.3770675,well
mpd,697.3844719,4730.790712,3.589611477,3.713312118,0,0,0,81.24520783,25.61779405,100.6427279,well
mpd,687.7297735,4777.949514,2.351814277,3.589534747,0,0,0,73.06437414,25.38735959,248.1988922,well
mpd,1023.049078,4797.630016,2.970712983,2.970649747,0,0,0,314.3982187,53.99242731,121.5342434,well
mpd,876.7412208,4738.712601,2.228034605,1.980433085,0,0,0,78.38838855,32.03086696,172.4268859,well
mpd,899.0216501,4728.31527,2.723153215,2.475541218,0,0,0,100.1278811,31.32382682,154.0933201,well
mpd,940.6114763,4815.949236,3.465831725,3.713312118,0,0,0,49.54010475,18.96522656,240.8518435,well
mpd,994.2081996,4725.096879,3.09449247,2.475541218,0,0,0,83.27535325,21.6752622,114.2008815,well
mpd,611.328349,4895.582731,2.013085763,2.013042848,0,0,0,33.57519694,14.01441972,101.4269933,well
mpd,1088.404652,4564.435005,3.218272221,3.465757641,0,0,0,27.25970527,16.33089904,267.39816,well
mpd,1139.086064,4574.753755,2.351814277,1.609101847,0,0,0,49.16085106,8.835860932,268.557314,well
mpd,1006.214832,4395.354884,3.465831725,2.970649747,0,0,0,64.10536425,20.67616155,257.5458612,well
mpd,1091.375393,4342.749634,3.960950467,3.589534747,0,0,0,106.9279013,25.03215449,90.25790645,well
mpd,1130.737216,4141.735629,1.732915862,1.609101847,0,0,0,36.56467716,8.64676991,166.2092811,well
mpd,923.6538549,4106.211085,3.09449247,3.218203694,0,0,0,99.5323481,38.7942255,160.0773977,well
mpd,1098.678316,3872.64407,2.846932966,2.599318403,0,0,0,81.53498084,18.36072307,107.9489253,well
mpd,870.3047816,3616.549109,2.475593976,2.723095535,0,0,0,51.65926117,21.68491436,155.343688,well
mpd,883.6729599,3522.478889,3.465831725,3.218203694,0,0,0,223.6657711,47.71744349,105.3759008,well
mpd,920.3806681,3544.305426,1.925560197,2.450660834,0,0,0,71.49664758,67.07198891,177.3336168,well
mpd,459.209104,5180.471766,3.063391494,2.100566535,0,0,0,61.50432129,46.78573005,294.444003,well
mpd,1123.805583,3581.149183,3.465831725,3.960866065,0,0,0,77.88645434,24.66248494,117.4886882,well
mpd,1132.965616,3342.631021,1.980475234,1.856656059,0,0,0,112.766565,31.19260115,159.7747746,well
mpd,1063.277385,3361.073802,2.599373648,2.723095535,0,0,0,80.34441151,38.01834066,231.2571583,well
mpd,1110.685081,3328.396703,2.723153215,2.970649747,0,0,0,60.77060973,13.308544,241.1460096,well
mpd,864.6109485,3254.50202,2.475593976,2.104209874,0,0,0,55.33379141,176.0907862,96.67986228,well
mpd,865.9724943,3237.667906,2.846932966,3.094426588,0,0,0,34.36790533,12.87271139,341.9571367,well
mpd,778.4603958,3350.057346,3.465831725,3.094426588,0,0,0,97.28765356,19.3095474,216.0281656,well
mpd,1024.905554,3078.24296,3.837170715,3.094426588,0,0,0,125.8888775,47.20276679,153.7529589,well
mpd,163.3988628,3594.145781,1.732915862,1.980433085,0,0,0,36.17269978,20.39270587,127.771349,well
mpd,464.1979549,4300.859215,2.275662196,2.100566535,0,0,0,75.86276818,23.29796682,243.2412337,well
mpd,1056.469524,4928.710415,4.208509706,2.351764059,0,0,0,78.64463502,28.13060422,269.1753561,well
mpd,1111.10598,5068.927141,3.837170715,4.208420277,0,0,0,275.5960164,39.26685243,145.0254478,well
mpd,777.0985855,5086.030865,3.342051973,3.465757641,0,0,0,40.4055044,18.66400119,143.971926,well
mpd,1045.700665,5033.920386,2.104254906,2.351764059,0,0,0,41.14547549,17.33078279,148.0303592,well
mpd,488.2586067,4120.38402,1.794805685,1.670990427,0,0,0,84.71717183,33.09212715,163.4958795,well
mpd,325.9078187,4135.789648,5.426578832,3.500944049,0,0,0,107.4084742,46.24553437,120.6633638,well
mpd,336.1335408,3412.936366,4.270399979,4.208420277,0,0,0,83.43041984,25.27022182,230.7296487,well
mpd,789.9407192,5158.193056,2.011420264,2.289875744,0,0,0,59.17918266,21.68984108,120.1309209,well
mpd,1110.048547,3476.693539,1.487932977,1.444139489,0,0,0,50.52341845,15.59341201,158.157797,well
mpd,468.0208399,3798.501738,3.713390964,2.475541218,0,0,0,40.09852534,135.3634557,145.8188742,well
mpd,907.9519723,4647.190584,4.726375206,4.288656228,0,0,0,132.4665247,35.76002813,121.8201782,well
mpd,579.5463356,4515.851951,1.485356227,1.423436241,0,0,0,24.61491221,15.92893391,236.0707284,well
mpd,601.0218761,4480.761058,2.289924428,2.227987165,0,0,0,42.2496422,8.925704313,92.51892559,well
mpd,430.0630813,4313.02555,2.100611064,2.713231605,0,0,0,48.0178417,19.15818997,173.990811,well
mpd,552.1609033,3094.083828,5.164002373,5.251415941,0,0,0,59.77836345,104.0270813,259.7106954,well
mpd,176.9395229,3573.80091,3.501018926,2.013042848,0,0,0,22.43998031,9.454389055,93.13006568,well
mpd,836.698572,4395.231324,3.28016223,2.846872377,0,0,0,84.65711349,20.75380045,96.88584934,well
mpd,171.6878879,3476.211997,2.450713089,3.150849511,0,0,0,47.69515486,17.76643519,109.7559455,well
mpd,391.0268282,2893.305038,4.026171579,3.500944049,0,0,0,135.6868308,27.08692428,143.010693,well
mpd,186.9173305,1625.438155,2.275662196,2.275613751,0,0,0,29.43732946,6.661097355,92.9823187,well
mpd,304.8141249,1928.007177,3.413493175,2.888278873,0,0,0,164.491382,37.98238351,135.1767683,well
mpd,331.3343433,1984.459733,2.975866007,2.275613751,0,0,0,73.72010203,15.05808805,114.6461253,well
mpd,421.8507854,1636.241092,4.084730219,3.960866065,0,0,0,214.3127254,40.99605699,106.7070776,well
mpd,198.5524086,1270.480047,3.837170715,3.3419808,0,0,0,70.03302367,26.28258552,114.3697377,well
mpd,268.6116914,1250.799546,3.837170715,3.713312118,0,0,0,119.6520644,25.79587128,171.7325971,well
mpd,622.6217178,2029.728088,4.57984949,3.837088695,0,0,0,96.5679403,38.19822711,237.7771462,well
mpd,762.8640556,2461.462455,2.723153215,3.3419808,0,0,0,106.8366104,26.4710695,333.4354628,well
mpd,276.6309738,2591.961036,2.363187629,2.013042848,0,0,0,64.38006899,18.34272257,146.8711405,well
mpd,810.5190311,2467.899503,2.104254906,2.104209874,0,0,0,55.75672686,20.88906945,170.1482837,well
mpd,762.7401777,2737.609658,2.846932966,2.723095535,0,0,0,152.2660049,43.07636837,154.2805759,well
mpd,744.4208781,2810.01897,3.589611477,2.599318403,0,0,0,46.44677537,15.31035357,110.2695638,well
mpd,981.5826273,2422.101717,4.332289987,3.094426588,0,0,0,97.55747145,27.37284738,144.2927085,well
mpd,837.2556522,1979.846459,2.351814277,2.723095535,0,0,0,114.9268016,24.66782843,134.1877403,well
mpd,768.0628533,1786.135218,2.723153215,2.599318403,0,0,0,90.17782105,12.63509251,172.4051962,well
mpd,859.8131797,1520.497265,2.625763956,3.413420414,0,0,0,134.2530303,20.9013577,129.72554,well
mpd,544.7640796,1176.161649,3.960950467,5.074859753,0,0,0,80.09489262,27.78005156,99.60779754,well
mpd,712.485618,1071.075238,4.332289987,2.970649747,0,0,0,74.25583642,20.10548558,250.5441949,well
mpd,794.5516657,1204.630814,2.723153215,1.856656059,0,0,0,87.32949678,22.29214743,101.1241006,well
mpd,1026.390872,1333.853839,2.351814277,3.3419808,0,0,0,40.46172491,208.7712835,215.5384356,well
mpd,1115.017368,1392.647693,4.332289987,2.970649747,0,0,0,58.9370465,29.03209046,179.4739907,well
mpd,1051.64191,1740.708642,2.351814277,2.227987165,0,0,0,95.35448824,24.76085175,178.2147572,well
mpd,1103.505666,1936.276464,4.456069209,2.723095535,0,0,0,69.50836662,19.50071158,140.2497206,well
mpd,225.4285445,2080.210322,3.501018926,3.150849511,0,0,0,28.24814301,113.6446997,232.4778056,well
mpd,188.6678667,2441.07049,3.325967953,3.588467947,0,0,0,157.5460812,40.98487135,131.7933066,well
mpd,576.1422595,2987.453574,2.413704126,2.537429824,0,0,0,100.8061554,35.09580187,144.9911622,well
mpd,938.136167,1175.604701,2.846932966,2.66120685,0,0,0,113.4172704,50.43941225,166.5510674,well
mpd,210.4616215,2257.621378,3.238442202,3.063326142,0,0,0,75.00990289,16.84909947,269.2949735,well
mpd,380.3486686,2523.255097,5.951732015,6.301699023,0,0,0,51.89194756,73.03034979,172.6351434,well
mpd,207.0482849,2224.799552,2.625763956,1.925519187,0,0,0,49.27578689,24.52962494,156.8601718,well
mpd,447.7207903,1662.296464,2.599373648,2.537429824,0,0,0,53.46064842,17.42808171,124.7198883,well
mpd,320.4811354,1143.445391,2.363187629,2.013042848,0,0,0,32.23038123,49.97889236,167.1334615,well
