surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
mpe,1346.94925,7178.371335,2.175085986,1.529355286,0,0,0,43.00314847,16.76085737,238.7722396,well
mpe,1110.680463,6656.181444,1.563343158,1.971168967,0,0,0,32.13689557,13.74030197,216.9183996,well
mpe,1023.67713,6563.196675,1.699286099,1.971168967,0,0,0,62.05715932,12.89163532,156.801371,well
mpe,884.4716108,6608.397536,2.650886058,2.311025806,15.32059167,4.518927226,116.3376882,21.6486692,22.33611554,334.7222778,well
mpe,746.4256547,6341.618031,1.216834747,0.774348309,0,0,0,31.18020564,8.929512163,237.3330285,well
mpe,638.5699003,5544.924424,1.327456138,1.216833106,0,0,0,51.46970527,17.92198411,224.8258581,well
mpe,1223.060963,5525.9745,2.63996218,2.933287224,0,0,0,51.67640855,29.10423207,170.1718955,well
mpe,1140.107369,5203.899177,3.10928885,1.87730385,0,0,0,60.93915943,21.35469825,113.7722453,well
mpe,1362.919977,5547.936676,1.818640487,2.17063244,10.53753392,3.312429237,161.1613097,21.74153856,24.64236339,175.5099311,well
mpe,803.306864,5632.591214,1.877306364,1.994635339,0,0,0,41.94630727,8.383247216,184.5377439,well
mpe,619.5804106,5620.904041,3.071148369,1.535572121,0,0,0,89.77046263,40.1256871,114.001571,well
mpe,446.7121661,6256.098957,1.991183876,2.323044848,0,0,0,70.23882364,31.53236018,140.7343061,well
mpe,384.638165,5480.734836,0.909320257,0.55732452,0,0,0,17.31138245,31.80975906,173.1880371,well
mpe,377.143948,5619.676555,70.91939494,46.36138928,0,0,0,0,0,0,well
mpe,635.5890515,5483.656055,3.294504854,0.886980851,0,0,0,100.7494499,19.50540462,250.6079529,well
mpe,748.8649543,5935.306538,2.405298699,2.17063244,0,0,0,46.07868605,11.38112759,124.1609953,well
mpe,648.0068468,5459.58088,1.520540665,1.647250099,0,0,0,73.26040432,16.0058908,94.96107936,well
mpe,1173.162452,5563.665594,1.991183876,4.646089642,0,0,0,0,0,0,well
mpe,1165.17701,5570.053932,1.140782464,1.120039475,7.593216941,2.3189314,231.8777788,9.928546244,7.505257436,228.048469,well
mpe,1390.616348,5837.515308,3.318640146,3.256410676,7.721247704,2.186043829,145.2851824,9.326650054,12.52003863,165.8400118,well
mpe,490.1240466,5323.365907,2.280810972,2.787654209,0,0,0,176.2181874,39.78339177,103.8242894,well
mpe,1414.017897,5538.6677,1.525311394,0.879986114,0,0,0,18.85793821,35.73107968,196.6310558,well
mpe,546.5108554,5215.154526,2.407522707,1.520538628,0,0,0,33.94431573,27.75321431,127.1646724,well
mpe,430.9684525,5197.334918,2.154098998,1.900673173,0,0,0,58.5073312,17.13751971,340.7803009,well
mpe,543.3121488,5041.793627,2.41239612,1.072174551,0,0,0,77.63185157,19.97320004,247.2855494,well
mpe,847.8654486,6229.66949,1.106213382,0.995590668,0,0,0,39.51394154,22.0677652,155.8747038,well
mpe,1072.698944,6349.667979,2.323048393,1.429566174,0,0,0,54.11271269,15.94009575,96.63250933,well
mpe,273.3962201,5646.050896,2.240082231,2.903806291,0,0,0,45.25344886,24.55120313,181.3639381,well
mpe,255.9733284,5601.332053,2.90381026,1.82524954,0,0,0,32.39711165,16.50834167,133.3396955,well
mpe,1095.750767,6286.945722,1.429568185,1.429566174,0,0,0,33.4046922,16.66098679,213.4349755,well
mpe,1083.242087,6311.427036,1.965656162,1.429566174,0,0,0,66.58074035,23.80951066,256.9707482,well
mpe,1173.841082,6368.162909,1.429568185,1.340218156,0,0,0,79.60336387,22.74575396,234.1334498,well
mpe,1374.686844,6452.645161,38.57918918,28.95509487,0,0,0,0,0,0,well
mpe,405.5630552,5406.235814,2.488980189,1.742283775,0,0,0,56.94236278,17.44811212,341.5650043,well
mpe,1116.553631,5093.835025,1.084070747,1.334238917,0,0,0,118.4867395,60.9614546,200.1327253,well
mpe,1103.500042,6383.512817,2.757293801,1.994635339,0,0,0,58.67352806,48.22086806,146.0874735,well
mpe,1087.798927,6491.731077,2.055004286,1.608261893,0,0,0,146.1209635,23.84106159,92.38304424,well
mpe,1238.226827,6400.197336,2.217461679,1.517208424,12.846416,2.92698276,204.7023895,10.16435464,10.28691893,195.3128834,well
mpe,1083.972549,6392.111008,1.17598652,0.907777842,0,0,0,10.82412188,19.02116569,182.8405982,well
mpe,666.7036279,6277.896125,0.990304505,0.866515224,0,0,0,11.96121653,4.498460509,219.4010874,well
mpe,1209.044238,6066.077643,1.965656162,1.072174551,0,0,0,77.77674051,24.41078239,238.7159181,well
mpe,978.9297914,5304.393192,4.113974728,2.830177248,0,0,0,9.079305068,5.266117586,252.0310148,well
mpe,1123.268994,5397.964118,2.100753045,2.275812649,7.572535369,2.244979474,208.5401611,11.33032749,9.595691867,198.6216207,well
mpe,1213.601448,5869.991161,1.86733607,2.567583637,0,0,0,37.03685825,11.89511967,218.6034535,well
mpe,1211.500683,5837.779651,2.80100429,1.867333424,0,0,0,56.86710107,15.87407217,220.684169,well
mpe,1236.87134,5553.984498,0.990304505,0.783990017,0,0,0,35.50889894,5.675164164,115.612066,well
mpe,1288.119782,5061.968953,3.218489799,2.434495364,10.75308982,2.252491152,160.7308181,15.81092613,15.11026926,184.4904349,well
mpe,1058.932991,6039.919956,2.027387527,0.633557671,0,0,0,67.09025887,16.78715143,121.7989074,well
mpe,776.7099686,5176.307528,1.898083537,2.063131465,0,0,0,34.87301225,8.846723881,261.5629798,well
mpe,504.3808548,6317.405746,3.768057159,3.094107852,0,0,0,28.56807966,11.43876984,150.3615915,well
mpe,828.1645738,5994.463084,1.774295527,1.567980033,0,0,0,45.97058736,12.87209641,231.0543504,well
mpe,955.1090366,5976.026653,1.520540665,1.330471303,0,0,0,60.4868961,14.60428263,235.9722211,well
