surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
mpg,16.92384251,612.2730295,3.511263814,3.936832888,0,0,0,44.73919374,28.66768019,34.1438629,well
mpg,93.95894892,1114.378761,3.298459698,2.766423082,0,0,0,43.33764948,41.51014917,45.39815596,well
mpg,896.6276549,2760.393669,12.94083362,16.92830538,36.48555656,8.263699339,208.0450595,69.47263554,18.17270315,210.4530984,well
mpg,594.8265099,3018.988604,3.617666004,3.192026816,0,0,0,39.37908719,106.5146833,119.554535,well
mpg,1053.422728,2428.298597,3.159976248,3.385655784,0,0,0,28.74106564,60.4327074,251.3754553,well
mpg,1252.125082,2183.929345,8.35136544,6.395127238,32.40224173,6.533206052,209.1840229,29.77146823,21.35289947,209.0269079,well
mpg,1570.319357,2069.999124,4.681684997,4.788040092,0,0,0,50.88056661,63.27764024,162.4744056,well
mpg,1870.798799,2231.941311,12.34255989,12.87457481,61.8755735,10.23237152,173.6816395,59.78558517,44.85708322,173.2543148,well
mpg,538.7528334,3374.474023,7.767340843,9.682481051,32.01449221,15.32323441,190.3389829,48.47022171,40.14857548,196.8437685,well
mpg,246.7857788,3004.305261,8.618556249,14.47052167,72.15338017,7.019159085,206.9011594,80.29660234,17.42510052,195.8413481,well
mpg,393.5143067,2050.534495,4.73996424,3.761839583,0,0,0,47.94244696,18.62790667,185.7642834,well
mpg,428.048518,463.8658262,4.815201953,4.58944463,0,0,0,33.64298052,65.43244993,111.5157864,well
mpg,1158.457287,1628.880312,4.947689415,3.990033454,0,0,0,56.28298458,40.28650453,194.1151255,well
mpg,1153.413535,1479.186271,5.492339512,3.61136601,0,0,0,55.4808288,29.52870625,191.7363511,well
mpg,1595.024297,1899.564167,3.245259132,2.287619073,0,0,0,33.63097017,44.72131348,91.26900322,well
mpg,373.2003915,528.49417,6.244715049,4.664681284,0,0,0,36.62219394,34.14980296,58.26931539,well
mpg,536.6972855,278.7061713,1.915234743,2.660022214,0,0,0,22.44582115,40.50070179,289.3794826,well
mpg,833.6650975,1679.367526,7.128929554,6.384053632,32.91007133,10.09431104,199.2551661,22.49067164,25.12512336,200.4927558,well
mpg,1213.04136,2210.361168,3.564464645,3.138826514,0,0,0,26.9345947,45.99131458,152.7263092,well
mpg,1476.558694,2406.103521,4.965676848,4.363733609,0,0,0,56.434627,42.45117077,184.2817689,well
mpg,622.0095377,764.8753605,8.19890273,16.65030634,88.7592225,22.25094068,35.63370342,104.6219639,38.723836,36.14754481,well
mpg,749.5543182,3230.373257,2.606847207,2.872823949,0,0,0,15.89060087,17.96910094,97.69588819,well
mpg,914.073033,394.1549423,4.754071295,4.944185802,0,0,0,73.06761383,23.22796467,195.0851301,well
mpg,2032.230275,2312.784236,4.563908104,4.658944324,0,0,0,41.75674818,30.72910241,206.2150541,well
mpg,549.393317,1133.956579,3.936871517,2.979225081,0,0,0,61.34494127,47.05270107,20.50968437,well
mpg,790.9258922,1859.717116,9.044165275,8.405670112,0,0,0,84.414898,66.34013969,211.2859711,well
mpg,937.5473961,1877.379629,6.490517735,6.49045397,0,0,0,90.71703077,71.71746256,199.0300935,well
mpg,1116.211265,1472.562506,2.482838424,2.407577296,0,0,0,65.87852728,30.80963993,198.9230834,well
mpg,870.9356297,409.1376354,6.400182368,7.196211245,0,0,0,68.92840994,51.5921401,186.6442682,well
mpg,1218.042514,296.1628774,10.38277865,12.48930786,47.01912155,18.49810422,17.50728666,88.70001321,41.97052763,27.26085365,well
mpg,1380.073352,590.6735833,7.448135066,5.745647898,0,0,0,38.07264173,31.31170584,45.67962381,well
mpg,1910.487014,1890.147751,12.87463434,15.21532748,77.52998757,16.01829615,199.2307052,88.54332463,27.35577179,200.3951946,well
mpg,1840.520595,1393.867801,4.476632644,4.438970793,12.55532701,2.961187712,234.3726843,23.03044147,6.621367106,218.3678359,well
mpg,1876.810317,1494.283264,4.522082505,5.054042128,12.42956743,5.010803628,188.6162146,19.89727308,20.12719067,194.5565502,well
mpg,1774.718454,1122.997299,6.59691966,3.724030888,0,0,0,53.16652723,50.86593379,342.2897414,well
mpg,266.8959383,602.4841074,6.59691966,4.575238092,0,0,0,38.75156362,36.21478977,6.305717729,well
mpg,2126.589426,666.7502102,4.25607703,4.149634623,0,0,0,50.3857904,65.63517513,73.51130053,well
mpg,2036.476838,1959.798961,11.28562935,10.53315089,39.42459451,13.81903137,217.0890025,48.60549543,31.96756031,206.3951032,well
mpg,2436.665225,762.1044585,4.73996424,3.536129356,0,0,0,76.83568725,58.80582582,15.09791888,well
mpg,2364.717078,515.8205222,3.085656111,2.500420754,0,0,0,43.05045196,7.908823282,36.55835651,well
mpg,2240.370051,689.877096,8.727553209,8.652230829,38.92938369,9.919985748,20.81268586,33.31294402,16.01136129,22.14158753,well
mpg,2209.36988,416.1760814,6.490517735,7.448062306,37.66103183,8.872154805,23.54947541,18.99614967,18.14784017,28.43163122,well
mpg,412.0280271,313.8185517,16.38588863,22.13139762,80.39209234,10.65921213,182.4658904,98.84137118,37.32858615,349.7060484,well
mpg,1999.936556,704.7353555,3.404862153,3.61763055,0,0,0,32.92867438,24.99961982,26.89654936,well
mpg,2129.544821,701.2378813,4.138063864,3.460892702,33.5944193,6.498320863,9.800148617,10.46838079,14.44956427,18.43384977,well
mpg,2542.905755,1880.35879,6.064910296,5.852048766,35.47738501,3.241528058,214.738776,71.16812274,24.46746934,219.783947,well
mpg,1948.757406,1552.963253,6.703322115,6.171251632,0,0,0,63.19995115,73.29334677,109.4719245,well
mpg,2404.989573,649.1740182,4.965676848,4.9656279,0,0,0,65.03243993,40.9999399,7.980316548,well
mpg,2708.360566,1311.433263,5.745704254,4.894440959,0,0,0,47.2253962,63.8763557,158.8692766,well
mpg,105.7308438,512.9200538,10.53325381,7.598915556,0,0,0,70.60351177,15.95676721,1.709822052,eff
mpg,427.2203721,2373.225152,5.341864617,5.642759639,0,0,0,67.89978556,48.98095254,206.4517755,eff
mpg,632.8447547,2625.569396,11.28562935,14.82164811,0,0,0,107.1727293,24.11036315,188.7217438,eff
mpg,645.9358092,2579.449265,5.868527281,7.975099884,0,0,0,63.21064062,12.80452287,194.3342476,eff
mpg,686.3323936,3076.445046,3.404862153,3.192026816,0,0,0,127.5466884,49.84162135,190.672713,eff
mpg,938.0792086,2840.235226,9.788977962,11.06569286,22.16928945,6.931836036,201.3935218,40.37636562,18.53488402,198.4351507,eff
mpg,1185.995915,3247.058914,5.21369489,8.671672942,0,0,0,49.83960187,7.785308266,169.8821661,eff
mpg,1036.644705,2706.67472,3.987588968,4.438970793,0,0,0,33.21253913,19.87742048,211.0977385,eff
mpg,1164.183665,2069.041676,6.064910296,7.235260836,0,0,0,88.97077452,9.765708813,202.4944682,eff
mpg,1205.148309,2819.380767,11.70421262,13.1937102,0,0,0,90.04345564,14.55784138,207.5947377,eff
mpg,1267.247871,2606.23354,5.116151744,3.761839583,0,0,0,59.3538906,37.0362238,206.8251248,eff
mpg,1946.717998,2387.444892,4.439014184,5.116101738,0,0,0,39.17705173,7.201011588,210.209162,eff
mpg,297.5863093,2893.638119,5.266626904,7.824626047,0,0,0,62.51550769,9.597296739,240.0263025,eff
mpg,422.8565991,2178.361876,4.439014184,3.98754981,0,0,0,42.73707921,30.12581602,207.4678567,eff
mpg,247.8500653,1627.70992,4.36247922,6.118051331,0,0,0,40.61931838,7.89962532,211.0669062,eff
mpg,1071.517318,1276.686432,4.025207692,2.97185326,0,0,0,50.77394403,8.780924757,206.8688997,eff
mpg,1831.396174,2032.778084,4.149675104,3.883632322,0,0,0,44.83473022,11.77211021,221.8255607,eff
mpg,1544.196779,1834.755348,3.385688856,3.084708373,0,0,0,15.55823097,8.958232705,118.9196141,eff
mpg,1850.388495,1794.599686,3.777268231,3.83043202,0,0,0,39.51260954,11.24547849,204.8399241,eff
mpg,342.3008938,482.9959161,5.00089051,4.894440959,0,0,0,29.17908547,31.73106656,280.0804775,eff
mpg,258.243481,243.7001814,5.85210618,5.639247295,0,0,0,67.87177894,12.60589258,193.6006619,eff
mpg,566.5981133,287.7363743,3.874732532,3.009471984,9.668018686,3.536765353,7.907443123,12.57699878,4.394768775,9.740157837,eff
mpg,687.9476749,589.4500177,3.777268231,3.990033454,16.08497269,5.42523495,57.15120219,26.42117413,9.436350965,38.62398344,eff
mpg,579.9497824,764.9050732,4.309278125,4.309236321,0,0,0,43.05090002,6.001142142,37.26653288,eff
mpg,1,743.5962189,5.116151744,4.739917938,0,0,0,38.62725933,24.08446069,23.16952645,eff
