surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
goldmine,214.4016964,3151.51334,31.46102974,16.58432845,0,0,0,0,0,0,well
goldmine,238.6068114,3637.203722,5.882074268,6.447905036,0,0,0,0,0,0,well
goldmine,203.0880614,3106.627868,16.36438483,10.78411547,0,0,0,0,0,0,well
goldmine,219.527923,3261.716985,21.19072028,7.579055661,0,0,0,0,0,0,well
goldmine,77.35962244,3242.167236,20.90292082,25.64971802,0,0,0,0,0,0,well
goldmine,229.5197763,3072.616019,26.80868641,17.64689802,0,0,0,0,0,0,well
goldmine,58.52496698,3083.475842,3.318093252,2.941149847,0,0,0,28.70886144,6.138216292,67.61090664,well
goldmine,116.4459687,3360.01725,32.36775681,19.25048811,0,0,0,0,0,0,well
goldmine,205.2301798,3376.015021,27.62171659,34.07519772,0,0,0,0,0,0,well
goldmine,225.5997361,3571.827403,25.48876616,16.90428325,0,0,0,0,0,0,well
goldmine,227.1993805,2611.359167,40.73936655,26.98286426,0,0,0,0,0,0,well
goldmine,113.4241561,1890.424888,47.0565952,38.76284176,0,0,0,0,0,0,well
goldmine,79.49242867,2817.836744,30.50120344,39.88770985,0,0,0,0,0,0,well
goldmine,201.657273,2217.707881,47.08489504,39.14115094,0,0,0,0,0,0,well
goldmine,237.4378823,2118.250768,17.15605043,14.4040909,0,0,0,0,0,0,well
goldmine,236.193733,1880.130453,20.28568627,12.17933455,0,0,0,50.65123199,11.09820849,50.98119087,well
goldmine,247.4676543,2340.910818,20.92661134,13.68765771,0,0,0,0,0,0,well
goldmine,203.0126952,1713.193423,39.817164,55.35388348,0,0,0,0,0,0,well
goldmine,61.14918384,1254.69901,42.5523762,34.66178161,0,0,0,0,0,0,well
goldmine,1,1072.004749,34.23386305,32.2087925,0,0,0,0,0,0,well
goldmine,194.3520214,1347.698992,24.95552809,19.73055208,0,0,0,0,0,0,well
goldmine,84.50503925,1957.388495,32.20756219,39.56775452,0,0,0,0,0,0,well
goldmine,198.035601,2805.499305,25.03664987,15.08274159,0,0,0,0,0,0,well
goldmine,232.9050935,3602.22316,28.20827931,15.94441991,0,0,0,0,0,0,well
goldmine,417.4824469,3621.488451,72.69640272,52.03572541,0,0,0,0,0,0,well
goldmine,503.6773197,3141.402394,24.05617627,15.68613154,0,0,0,0,0,0,well
goldmine,334.831562,3225.112009,22.7741851,29.71315257,0,0,0,0,0,0,well
goldmine,714.9040882,3131.59847,41.17451617,41.9302376,0,0,0,0,0,0,well
goldmine,990.5321063,3053.921937,34.16127726,22.47339989,0,0,0,0,0,0,well
goldmine,1047.392202,3104.826473,29.78742905,19.83390706,0,0,0,0,0,0,well
goldmine,1148.820362,3278.580525,69.3783399,37.48079,0,0,0,0,0,0,well
goldmine,1144.74802,3153.544043,40.57123178,29.78856675,0,0,0,0,0,0,well
