surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
h5,2747.874806,735.5418699,10.198407,6.6026015,13.25199606,6.761560166,6.816594438,43.5280854,27.36578901,21.9427878,well
h5,2978.43287,1081.249157,3.3749473,3.5260649,2.983402281,1.738739582,7.542382157,6.789354267,11.27722622,18.87154674,well
h5,2790.167005,755.0109338,1.9836038,1.1976476,4.341499622,1.496918789,9.92773072,8.059341196,6.737022386,16.32526847,well
h5,2800.939493,830.9518696,1.3077763,1.2071768,5.943010874,2.249442741,43.88669381,15.39182226,10.43743384,46.42308308,well
h5,3057.93123,866.9495058,1.2135988,1.2392087,0,0,0,17.50602869,5.837320697,35.24070148,well
h5,2690.488179,878.5373513,1.2830167,1.4052088,0,0,0,28.98212467,22.5757916,480.4799486,well
h5,2489.494934,902.2246467,2.0732634,1.0318589,0,0,0,18.52862694,16.65053928,41.27273778,well
h5,2389.533266,1096.322466,0.74904007,0.65310359,0,0,0,16.03159193,5.574216761,336.6985761,well
h5,2671.243962,596.073553,0.88660908,1.1082524,0,0,0,34.45277858,14.47370861,44.23115051,well
h5,3159.517368,877.5951408,0.89808941,0.93157619,0,0,0,11.4365876,5.083677576,22.76220312,well
h5,3014.605352,723.8720372,1.2554649,1.1181571,0,0,0,41.81383893,15.69844719,450.6688385,well
h5,2702.70959,609.6025933,1.3237306,1.0295681,0,0,0,23.41185578,13.306951,7.226435464,well
h5,2894.000662,745.9593933,6.7257371,4.8040981,0,0,0,39.69451691,28.8608602,24.41239394,well
h5,2881.408114,786.769307,0.62982941,0.61483347,0,0,0,11.53100703,6.609535767,467.349282,well
h5,3037.413075,956.6696235,1.0076408,1.0076505,8.083848781,2.024498402,4.663173461,9.278659063,6.703096874,14.3266408,well
h5,2899.604736,840.9215211,1.0285542,0.89997566,0,0,0,14.58442563,7.383770823,0.798309059,well
h5,2666.806366,500.4763393,2.917969,1.98584,7.958262081,2.755859878,13.43026799,15.63072347,13.4231239,4.571804913,well
h5,2688.39266,531.8204273,2.4316409,1.9047855,4.597375493,2.752337266,0.79763951,10.97236531,8.874492078,5.690697995,well
h5,3039.517123,1038.722789,2.4788678,1.625487,5.296834553,2.531368718,5.276408131,13.65741968,3.985872648,18.67942328,well
h5,2821.055792,903.610857,2.7503598,2.2002878,0,0,0,14.03080546,9.719733435,6.250041316,well
h5,3869.176501,330.3406107,3.2280843,3.3534472,7.782288086,2.298660801,345.2635946,25.20304359,15.05951688,2.528805562,well
h5,3737.874338,329.7478055,0.38879782,0.43008262,4.820728296,0,328.2225222,19.46663666,8.090353019,336.0727747,well
h5,3933.71156,288.9519204,0.31193766,0.29678732,0,0,0,17.84310327,7.430465798,84.82955535,well
h5,4012.120414,311.8087671,0.99030781,0.89128578,0,0,0,39.74708845,8.544256237,51.72518237,well
h5,3842.397628,386.4372571,1.820881,1.5311954,4.856902421,3.220438632,4.893349943,11.09193749,9.820934037,1.93692758,well
h5,3678.928389,400.4362788,1.3183173,1.5287886,1.034853883,0,4.54478108,8.840609357,5.593006359,3.22598991,well
h5,4256.649235,276.3207862,2.0585084,1.2188536,4.409133538,2.592400039,10.87158815,8.248554347,6.230626534,3.641544469,well
h5,435.9797869,188.9868747,13.535431,8.3391399,20.36504185,7.027731507,3.699709164,53.05671906,28.07691296,9.512280264,well
h5,387.1382928,191.7159619,10.948551,7.7627563,16.45782906,7.645168467,353.5142927,30.9101424,19.31246138,457.4387122,well
h5,751.350353,656.169199,6.0013752,3.4174497,3.165891871,3.181375879,459.1712805,20.50844237,11.20700432,460.8549001,well
h5,693.4032294,778.4826826,10.26651,5.8176894,7.552399762,3.703405208,1.103135602,28.93464502,11.36311137,0.27980042,well
h5,1026.705413,512.6537448,15.18291,10.72592,15.93557593,5.889687472,7.120070626,33.90287549,18.88820147,452.2037933,well
h5,750.1225531,32.13989776,2.9230421,2.240999,0,0,0,33.53170558,16.46743451,21.72494053,well
h5,884.7835589,383.3094861,6.0204449,4.4149928,5.221633557,4.872801983,468.0095359,23.48190038,9.248430064,463.4507199,well
h5,927.3129193,769.0446856,18.44154,48.347778,0,0,0,0,0,0,well
h5,575.0998987,843.3952685,11.145308,30.483631,0,0,0,0,0,0,well
h5,1051.070838,530.3157978,7.0252962,4.493659,7.429597428,6.349317151,456.4142068,0,5.190886267,0,well
h5,812.4164939,677.2955204,6.0666037,4.6221743,0,0,0,25.39072137,0,4.2527877,well
h5,311.5193874,99.74526006,2.421839,2.2157249,8.133123316,2.784380696,461.4663284,14.19978835,8.373703126,455.0668628,well
h5,390.970018,135.5546551,4.9371271,4.5331802,0,0,0,26.43853762,9.651348151,0.793845553,well
h5,727.0975735,309.5980795,4.1259961,3.9259086,2.737846601,2.446073131,473.0054134,16.98028689,7.715109384,23.83240233,well
