surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
lmp,2736.498666,14496.61225,4.6478586,3.9968274,22.005762,1.693417034,267.7169214,15.41013294,15.02114588,243.2374118,well
lmp,2870.8362,14368.5464,1.332561,1.1462264,3.11768615,1.518916258,150.5300236,10.36978488,12.09997658,152.0226451,well
lmp,2801.1431,14330.6646,3.4184422,3.242018,0,0,0,96.34203172,20.45076144,255.1724984,well
lmp,2105.8223,14860.897,3.6258054,3.4077003,0,0,0,67.71295713,16.71330659,220.8267203,well
lmp,2036.376242,14101.44426,9.8160429,7.7115474,0,0,0,234.373688,45.26043535,237.2830662,well
lmp,2336.8511,14346.396,3.098979,2.8500767,0,0,0,87.26215245,14.82696751,237.2293413,well
lmp,1982.1409,14317.0279,6.1359787,5.4523201,24.30468037,5.187817465,236.2368349,12.84050809,11.15832452,233.2499548,well
lmp,1943.9014,14471.0337,8.6775837,10.514652,62.87091371,7.031486676,256.7641118,35.99921445,37.84636395,253.6031035,well
lmp,2554.708803,14398.26319,3.5496688,2.4974072,17.11917656,5.735309432,222.5202129,22.41233583,9.748249505,236.0074594,well
lmp,2192.224709,13832.26429,31.948889,20.97481,52.34601854,13.96931034,247.5649726,115.9768089,39.18640267,250.8599416,well
lmp,3088.5546,14163.1753,1.5777426,2.1467416,0,0,0,35.80199012,27.5510648,97.45448716,well
lmp,2030.0645,13646.5967,2.8048756,2.3657968,0,0,0,61.89095565,32.41496496,241.4104345,well
lmp,2640.3882,13143.0337,2.1036568,1.7524421,0,0,0,64.24982768,13.52584771,251.2242227,well
lmp,2626.9466,13159.3999,1.4565201,1.0532891,0,0,0,44.17943015,9.314720403,218.1173173,well
lmp,2076.3487,16786.9024,2.9363542,3.4610732,18.4881336,4.546877386,238.5800129,11.69676964,9.041864241,234.7663996,well
lmp,2753.3042,16345.5144,2.9130402,2.1065781,0,0,0,112.8652922,39.61263561,248.7121381,well
lmp,2825.6963,16389.7514,2.1692853,1.9826618,0,0,0,148.3199381,54.12798782,255.2282597,well
lmp,2829.4138,16049.1674,4.4702706,3.0667737,0,0,0,124.2386702,32.4583808,257.5364503,well
lmp,2808.4651,15953.3091,4.3826184,3.4172621,0,0,0,73.65815715,11.92140379,253.307468,well
lmp,2663.9265,15888.1177,6.3986225,5.0820818,30.41431909,5.518464152,235.2214809,25.10303303,15.46730901,238.4268889,well
lmp,2710.5579,15561.857,2.0160043,1.708631,0,0,0,76.49512856,22.25633642,255.2809112,well
lmp,2619.1363,15535.2193,6.8368845,5.038271,24.42114308,5.68094436,223.8454364,43.31843659,19.4200516,228.1271157,well
lmp,2342.417,15108.4126,2.7172234,2.6724744,21.81885462,1.924170601,257.4738127,12.83977769,8.68948941,255.7843138,well
lmp,2312.4409,15500.0406,3.1554852,2.9791515,0,0,0,70.50433877,20.6155838,240.8091114,well
