surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
pizzeria,846.2272508,3605.723481,36.77249369,41.8696385,0,0,0,0,0,0,well
pizzeria,312.0990489,2725.533903,2.935619295,2.781009301,0,0,0,86.52631321,43.48661604,134.9989278,well
pizzeria,865.7723244,4266.213163,8.11158051,13.9050465,0,0,0,131.0261781,19.98623454,160.3025439,well
pizzeria,569.6223597,4138.209312,2.974246394,2.781009301,0,0,0,57.32106657,23.75648614,126.9460381,well
pizzeria,225.848992,5487.805904,4.20621905,5.954035987,0,0,0,97.02603933,48.33774438,132.1505249,well
pizzeria,621.3312778,3764.191976,5.374348908,5.581054501,0,0,0,93.65844868,50.59361447,148.906124,well
pizzeria,624.2251677,3736.286707,5.787760093,4.960937323,0,0,0,94.30235404,40.92976439,167.8526309,well
pizzeria,320.6777886,2855.410298,6.924641353,6.924641353,66.70230713,11.67116606,159.8803744,60.61304712,14.34038415,166.3902749,well
pizzeria,1064.583382,5448.153105,3.325776981,4.073924354,0,0,0,135.1589944,23.14291146,147.5273674,well
pizzeria,910.6830665,4312.609001,11.88965158,19.37192631,61.19239858,15.59388076,196.4165175,49.00043946,21.95570284,193.9424286,well
pizzeria,347.0427776,5412.426707,6.525910167,7.054774548,17.33287544,6.001207805,131.1482548,36.13391988,15.96688069,140.1013035,well
pizzeria,423.6230349,5819.961092,7.898719518,9.062404276,0,0,0,131.6246334,23.81392231,144.8255312,well
pizzeria,724.7721141,3571.653772,7.067275747,10.30952263,0,0,0,38.62674913,16.2550774,314.5649897,well
pizzeria,333.9909581,4338.983914,5.5852383,6.99598475,13.93160267,5.80920105,123.1689552,24.14230179,12.63103187,122.063645,well
pizzeria,325.1133884,4434.870112,1.646175541,1.881273133,0,0,0,28.04967266,12.86547724,149.2413342,well
pizzeria,1026.501733,2052.002327,9.406716964,10.69974062,64.58547057,13.40660281,167.3008415,72.77148583,22.98859257,159.7705286,well
pizzeria,2112.050485,5201.916904,17.92272836,27.81009201,122.5267533,33.63616484,164.889855,108.5615635,49.8257739,176.8199759,well
pizzeria,2444.857073,3978.040938,7.107288546,9.656282055,0,0,0,207.249223,18.37484105,156.2229729,well
pizzeria,2392.503475,4364.285173,5.134864617,4.916176624,0,0,0,61.41000312,15.44431349,155.6227884,well
pizzeria,1141.403429,5064.218239,2.974245894,3.669387169,0,0,0,28.89170211,14.52386519,180.1530972,well
pizzeria,1337.234052,2676.288704,5.02561222,7.428888035,0,0,0,66.70916877,18.50590041,157.4660491,well
pizzeria,1483.673347,4045.016985,6.025744685,7.107023446,24.00873614,6.61407067,301.1244376,25.14247799,19.88833112,145.8463848,well
