surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
mpd,175.4564252,6234.82831,3.325967953,2.975802507,0,0,0,57.20109317,33.62226833,186.0605916,well
mpd,607.4303461,5939.550516,3.465831725,3.837088695,0,0,0,89.47751085,44.93931752,0,well
mpd,412.3263806,5988.175474,2.228034605,2.227987165,0,0,0,63.81588671,22.37627379,0,well
mpd,747.0015778,5792.651454,2.275661958,2.18809009,0,0,0,38.11510628,26.66146894,0,well
mpd,731.7922697,5820.528014,1.83803487,1.575424729,0,0,0,28.67152346,17.54622718,0,well
mpd,1007.491898,6681.894348,1.750509172,1.750471971,0,0,0,92.16205859,25.61108377,0,well
mpd,707.7026565,5975.66356,1.400407411,1.137806743,0,0,0,36.70888538,16.21034202,0,well
mpd,896.7074684,5657.1396,4.026171579,2.450660834,0,0,0,145.1928567,41.862925,0,well
mpd,580.8089899,6182.503063,1.732915862,2.475541218,0,0,0,90.66522698,28.15256178,0,well
mpd,761.953193,6611.236974,1.79480558,1.547213268,0,0,0,49.47282799,92.70788499,290.4798507,well
mpd,981.889859,6464.063316,2.888340256,2.275613486,0,0,0,33.77724275,66.38154302,0,well
mpd,552.7180835,6375.204815,2.363187629,1.750472077,0,0,0,32.26833253,93.02241671,0,well
mpd,965.230755,5807.884076,2.406950346,2.932040426,0,0,0,88.48772277,25.77171131,0,well
mpd,679.934766,5646.028513,2.537483799,1.918544374,0,0,0,76.74661504,22.85722508,0,well
mpd,759.2653192,5605.216287,1.609136164,0.92832795,0,0,0,18.97539737,4.352921626,0,well
mpd,495.9348085,6470.771995,1.925560197,1.400377646,0,0,0,47.40307056,26.47217998,284.1041148,well
mpd,700.3715842,5883.4049,2.975866007,2.713231605,0,0,0,71.62014405,19.00536406,0,well
mpd,539.4858031,6645.644915,1.42346651,1.794767215,0,0,0,40.46704877,8.899079376,0,well
mpd,711.0247147,5592.793183,1.980475234,2.537429824,0,0,0,65.7560164,18.15754064,0,well
mpd,866.5555232,5855.598222,1.825750478,1.732878874,0,0,0,47.64441215,15.53994628,0,well
mpd,560.5188287,6474.486805,2.100611329,1.22533043,0,0,0,87.61081684,29.2592526,0,well
mpd,640.7692857,6323.565347,1.925560197,1.575424729,0,0,0,64.55400076,19.05680803,0,well
mpd,567.7899209,5971.086702,1.980475234,1.980433085,0,0,0,95.07119806,38.61637194,257.3352818,well
mpd,505.8530781,5956.457631,2.475593976,2.970649747,0,0,0,65.10520783,38.76986676,205.3228341,well
mpd,110.0608379,5362.172124,1.856695535,1.17588203,0,0,0,37.00121936,10.85240664,0,well
mpd,256.5773703,3469.829362,4.376273525,3.500944049,0,0,0,131.0258047,43.57579505,0,well
mpd,565.7532236,3435.896511,1.750509436,1.662948416,0,0,0,53.63512155,96.45189161,0,well
mpd,626.4355016,3459.580897,2.363187629,2.800755239,0,0,0,30.98955303,26.48552224,0,well
mpd,610.2955772,3663.687204,1.83803487,2.100566535,0,0,0,104.0084311,28.38197764,0,well
mpd,665.9734424,3692.916402,1.662984003,2.100566535,0,0,0,55.50791145,27.8710221,0,well
mpd,491.9760481,3913.672685,2.538238761,2.450660834,0,0,0,104.3907594,41.4683,0,well
mpd,623.7041312,4023.12124,3.325967953,2.363137173,0,0,0,70.58950408,23.6397679,251.8988589,well
mpd,718.5222946,4171.482743,2.363187629,3.150849511,0,0,0,89.11434663,53.85468447,0,well
mpd,548.5343229,4311.859115,2.475593976,2.537429824,0,0,0,29.0382663,36.12063374,0,well
mpd,555.7488347,5158.09703,2.975866007,2.538184521,0,0,0,75.08228927,22.26615241,234.2777399,well
mpd,722.6759735,4586.65815,1.485356491,1.361547768,0,0,0,77.98228989,5.755437455,226.3381457,well
mpd,819.7602911,4759.366105,5.19874719,5.693745018,0,0,0,58.42285585,214.8500432,0,well
mpd,636.5090436,5061.810144,3.589611477,3.713312118,0,0,0,72.25396803,29.04652594,0,well
mpd,627.340121,5112.321334,2.351814277,3.589534747,0,0,0,66.09668373,28.00114704,206.9543323,well
mpd,940.5350754,5132.325481,2.970712983,2.970649747,0,0,0,297.9493709,59.04145561,0,well
mpd,804.0400982,5069.721662,2.228034605,1.980433085,0,0,0,88.50052141,28.24594596,0,well
mpd,824.8875589,5058.521354,2.723153215,2.475541218,0,0,0,107.4388767,28.23347316,0,well
mpd,863.4633162,5152.19632,3.465831725,3.713312118,0,0,0,51.40120839,18.64720282,0,well
mpd,913.8216077,5054.77462,3.09449247,2.475541218,0,0,0,86.10678008,19.38056177,0,well
mpd,555.5926721,5238.482562,2.013085763,2.013042848,0,0,0,30.0765143,15.79040328,0,well
mpd,1002.329636,4882.497472,3.218272221,3.465757641,0,0,0,24.02179539,18.36284421,182.8859914,well
mpd,1049.643817,4893.382451,2.351814277,1.609101847,0,0,0,43.31741651,9.971204417,181.3930829,well
mpd,926.0832196,4701.768072,3.465831725,2.970649747,0,0,0,56.90749578,23.14758911,195.4683843,well
mpd,1005.807435,4645.18752,3.960950467,3.589534747,0,0,0,95.25215776,28.32710527,0,well
mpd,1043.216496,4429.889669,1.732915862,1.609101847,0,0,0,40.8862646,7.720220554,0,well
mpd,849.8705444,4392.519073,3.09449247,3.218203694,0,0,0,110.7236686,34.46043317,0,well
mpd,1014.119622,4141.94532,2.846932966,2.599318403,0,0,0,73.26640402,20.79982983,0,well
mpd,801.583243,3868.535143,2.475593976,2.723095535,0,0,0,56.85112118,19.63963032,0,well
mpd,814.3699819,3767.796403,3.465831725,3.218203694,0,0,0,241.2267335,42.09543064,0,well
mpd,848.5933771,3791.044041,1.925560197,2.450660834,0,0,0,81.13621996,59.09940179,0,well
mpd,412.5791484,5543.920793,3.063391494,2.100566535,0,0,0,68.58941133,41.29685825,289.7139158,well
mpd,1038.517405,3829.838366,3.465831725,3.960866065,0,0,0,72.06300064,27.38536226,0,well
mpd,1047.830621,3574.490333,1.980475234,1.856656059,0,0,0,126.6126227,27.49204636,0,well
mpd,982.6690098,3594.453034,2.599373648,2.723095535,0,0,0,78.44160676,38.49835379,225.8924783,well
mpd,1027.061119,3559.323978,2.723153215,2.970649747,0,0,0,64.05100046,12.04572067,215.1614229,well
mpd,797.4113469,3481.004073,2.475593976,2.104209874,0,0,0,49.08967007,195.8612205,0,well
mpd,798.7366581,3462.979876,2.846932966,3.094426588,0,0,0,31.3915209,14.11189343,336.9077234,well
mpd,716.6261677,3583.563174,3.465831725,3.094426588,0,0,0,101.266295,17.93392506,240.7002002,well
mpd,947.7180961,3291.821634,3.837170715,3.094426588,0,0,0,141.976841,41.63459957,0,well
mpd,141.2584564,3846.793925,1.732915862,1.980433085,0,0,0,35.85284204,21.6006194,0,well
mpd,420.0272309,4602.333914,2.275662196,2.100566535,0,0,0,69.26301277,25.20800359,212.769822,well
mpd,971.3412676,5272.533068,4.208509706,2.351764059,0,0,0,70.05202666,30.91152397,180.5970859,well
mpd,1021.938632,5422.453297,3.837170715,4.208420277,0,0,0,267.2377087,43.00002993,0,well
mpd,709.852704,5441.820241,3.342051973,3.465757641,0,0,0,42.84877256,17.07848989,0,well
mpd,960.9475271,5385.187989,2.104254906,2.351764059,0,0,0,44.2643354,15.85854892,0,well
mpd,443.0767582,4409.070083,1.794805685,1.670990427,0,0,0,94.11898088,30.85202683,0,well
mpd,291.3588508,4426.075345,5.426578832,3.500944049,0,0,0,99.03851737,52.48314621,0,well
mpd,303.2024843,3652.273015,4.270399979,4.208420277,0,0,0,79.37281088,26.93577726,0,well
mpd,721.6212229,5519.024727,2.011420264,2.289875744,0,0,0,56.70179112,22.15746695,0,well
mpd,1025.996516,3718.068627,1.487932977,1.444139489,0,0,0,55.72314963,14.02770212,0,well
mpd,425.1905503,4064.579054,3.713390964,2.475541218,0,0,0,42.80918318,120.5796901,0,well
mpd,833.4874017,4971.654072,4.726375206,4.288656228,0,0,0,127.863886,38.3113879,0,well
mpd,527.1050794,4832.104862,1.485356227,1.423436241,0,0,0,23.64303276,16.70130822,220.7843557,well
mpd,547.2788612,4794.474167,2.289924428,2.227987165,0,0,0,37.29127084,10.11572752,0,well
mpd,388.099671,4615.465399,2.100611064,2.713231605,0,0,0,53.829679,17.06520215,0,well
