surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
mpe,1131.360332,9082.848836,2.175085986,1.529355286,0,0,0,40.89688818,15.89380189,0,well
mpe,939.6132258,8420.859767,1.563343158,1.971168967,0,0,0,35.36860173,12.50276807,243.1374639,well
mpe,869.9080142,8302.572582,1.699286099,1.971168967,0,0,0,73.65788357,10.97607621,0,well
mpe,760.144381,8358.421884,2.650886058,2.311025806,13.87098951,5.341370502,0,19.46089337,26.36237596,325.0219872,well
mpe,648.4600055,8020.063176,1.216834747,0.774348309,0,0,0,31.68344138,9.034212429,0,well
mpe,555.848506,7012.3794,1.327456138,1.216833106,0,0,0,53.96892498,16.50212503,236.2906988,well
mpe,1018.274381,6993.752128,2.63996218,2.933287224,0,0,0,62.64163117,23.82649123,0,well
mpe,949.6900255,6586.02284,3.10928885,1.87730385,0,0,0,59.70021145,20.45226601,0,well
mpe,1129.166293,7022.776022,1.818640487,2.17063244,12.46488839,2.97267075,0,26.51318757,20.39904921,0,well
mpe,687.0279917,7124.654026,1.877306364,1.994635339,0,0,0,51.23176316,6.92803824,0,well
mpe,541.510466,7108.214514,3.071148369,1.535572121,0,0,0,80.02192142,47.66535006,0,well
mpe,410.472235,7909.274351,1.991183876,2.323044848,0,0,0,77.62906502,29.79795518,0,well
mpe,354.2889878,6928.95906,0.909320257,0.55732452,0,0,0,21.05565741,26.27521343,0,well
mpe,349.6217837,7104.457707,70.91939494,46.36138928,0,0,0,0,0,0,well
mpe,552.9318622,6934.933536,3.294504854,0.886980851,0,0,0,88.38910809,22.58311568,208.0735429,well
mpe,646.6938663,7506.669946,2.405298699,2.17063244,0,0,0,42.36050677,12.14606328,0,well
mpe,562.5409439,6904.625111,1.520540665,1.647250099,0,0,0,60.09306301,18.7766037,0,well
mpe,979.1248863,7040.924625,1.991183876,4.646089642,0,0,0,0,0,0,well
mpe,972.8628921,7048.924278,1.140782464,1.120039475,7.587203407,2.430073783,0,10.18851257,7.503468125,0,well
mpe,1153.721388,7388.939728,3.318640146,3.256410676,8.503057786,2.111586215,0,11.18414436,10.81485895,0,well
mpe,436.3445142,6731.067336,2.280810972,2.787654209,0,0,0,146.7026443,44.46475581,0,well
mpe,1169.523659,7011.528642,1.525311394,0.879986114,0,0,0,22.59167546,29.34599736,0,well
mpe,479.9875904,6594.844399,2.407522707,1.520538628,0,0,0,33.18785283,25.81263871,0,well
mpe,388.3788675,6571.276296,2.154098998,1.900673173,0,0,0,50.64596818,17.15698253,332.816621,well
mpe,475.878673,6375.75637,2.41239612,1.072174551,0,0,0,72.09630928,22.12144999,212.3009705,well
mpe,727.7264835,7879.527866,1.106213382,0.995590668,0,0,0,45.83287306,20.1574814,0,well
mpe,906.7638236,8033.20362,2.323048393,1.429566174,0,0,0,44.95157432,19.47571,0,well
mpe,267.7501024,7136.840413,2.240082231,2.903806291,0,0,0,54.62976118,20.47930292,0,well
mpe,253.5538058,7080.175141,2.90381026,1.82524954,0,0,0,33.08543581,17.92028854,0,well
mpe,924.437636,7954.157474,1.429568185,1.429566174,0,0,0,37.46453983,16.44248014,245.9590117,well
mpe,914.7603186,7984.978268,1.965656162,1.429566174,0,0,0,56.41039329,28.40065104,199.4990063,well
mpe,986.981531,8057.494043,1.429568185,1.340218156,0,0,0,78.27356107,23.59415723,227.2657003,well
mpe,1146.710527,8166.073212,38.57918918,28.95509487,0,0,0,0,0,0,well
mpe,370.1722809,6835.012436,2.488980189,1.742283775,0,0,0,48.57194479,19.69433285,333.8684903,well
mpe,930.0469117,6446.731419,1.084070747,1.334238917,0,0,0,139.4414634,51.9228767,255.9205144,well
mpe,931.4494318,8076.250213,2.757293801,1.994635339,0,0,0,64.90458543,46.37262154,0,well
mpe,920.0073074,8212.852012,2.055004286,1.608261893,0,0,0,119.5549056,28.80133909,0,well
mpe,1038.231399,8098.558562,2.217461679,1.517208424,14.99149215,2.600615956,0,12.21687361,8.421529367,0,well
mpe,916.0725312,8086.937225,1.17598652,0.907777842,0,0,0,13.23018796,15.5787935,0,well
mpe,584.7838612,7938.818809,0.990304505,0.866515224,0,0,0,12.97562414,4.8621244,0,well
mpe,1012.094784,7676.099224,1.965656162,1.072174551,0,0,0,76.86342624,23.73019297,0,well
mpe,823.0395728,6711.540693,4.113974728,2.830177248,0,0,0,7.897697855,6.335719238,206.2086588,well
mpe,938.1288692,6831.090205,2.100753045,2.275812649,8.696201016,2.054489804,0,13.49925108,8.269839039,0,well
mpe,1013.917561,7428.365702,1.86733607,2.567583637,0,0,0,40.36777645,10.973866,0,well
mpe,1011.961831,7387.644107,2.80100429,1.867333424,0,0,0,66.89621813,13.13518759,0,well
mpe,1029.459513,7029.271227,0.990304505,0.783990017,0,0,0,31.99196176,6.101962316,0,well
mpe,1065.543847,6408.026389,3.218489799,2.434495364,12.70165445,1.872879378,0,19.31144915,12.3787732,0,well
mpe,893.0505197,7641.680603,2.027387527,0.633557671,0,0,0,63.11151446,15.69931884,0,well
mpe,661.8263543,6547.851727,1.898083537,2.063131465,0,0,0,28.99713966,10.73223855,192.9733854,well
mpe,456.6721845,7987.266329,3.768057159,3.094107852,0,0,0,33.04097389,10.86177404,0,well
mpe,709.9941574,7582.14168,1.774295527,1.567980033,0,0,0,50.55622048,10.80201602,0,well
mpe,810.2972285,7560.000372,1.520540665,1.330471303,0,0,0,57.59794465,15.71414014,225.3386095,well
mpe,821.7919819,7410.397985,1.39382893,1.077048123,0,0,0,138.1234446,33.83641064,0,well
mpe,866.7007826,6852.240725,2.567587156,2.392520885,0,0,0,55.47186743,17.4321924,0,well
mpe,702.3743535,7940.611594,5.934904417,3.942242155,53.13668507,1.837390285,0,35.64581777,12.86230831,0,well
mpe,833.4846732,6981.127929,1.077049631,1.203759594,0,0,0,63.10828267,18.69475062,0,well
mpe,1096.139298,6427.154295,32.96863879,37.30985859,0,0,0,0,0,0,well
mpe,815.7746106,6477.188853,1.520540665,1.393827051,0,0,0,44.80511568,17.65729877,181.7057449,well
mpe,857.1866619,6421.069631,1.520540665,1.330471303,0,0,0,66.76428588,20.23709177,183.7582355,well
mpe,811.9061186,6510.925394,1.520540665,1.140403845,0,0,0,33.0824343,11.89826173,0,well
mpe,708.0690623,6434.484843,1.267117089,1.013692375,0,0,0,61.43595647,19.69664594,0,well
mpe,1010.862914,6439.014116,1.917971155,1.834578696,0,0,0,133.9020703,33.11021877,335.5514776,well
mpe,1065.536269,6461.558191,0.917290591,0.50033962,0,0,0,36.38456214,26.67394301,0,well
mpe,1076.463367,7300.899111,1.250850744,0.917289348,0,0,0,65.00417129,20.75102232,0,well
mpe,1024.469512,7375.530605,1.58441087,0.750509457,0,0,0,135.3911072,23.53184375,281.5268893,well
mpe,951.4566338,7356.062213,3.180245072,1.973942541,0,0,0,200.9396777,62.22999383,0,well
mpe,630.896735,7982.194494,1.432016004,1.145611242,0,0,0,37.61793546,9.142525359,226.7191313,well
mpe,1004.841793,7442.028635,1.644954442,1.315961791,0,0,0,49.69470561,17.24549376,218.0797326,well
mpe,999.2121468,7311.02525,1.425627084,0.986971284,0,0,0,52.31892325,17.33162015,244.9232179,well
mpe,939.5723756,6874.708675,2.631927101,1.425625205,0,0,0,99.29409707,33.28845103,305.1374297,well
mpe,898.9048849,6843.480899,2.41259977,1.425625205,0,0,0,101.1858542,29.69151494,0,well
mpe,978.6953545,6691.429262,2.41259977,1.864279127,0,0,0,53.88188832,18.86269488,0,well
mpe,852.460178,6684.850883,1.535290763,1.535288752,0,0,0,34.86964885,34.49982124,272.3077654,well
mpe,743.4331047,6717.821674,1.644954442,0.986971284,0,0,0,36.90317195,15.4542598,0,well
mpe,788.275974,6803.65781,0.767645381,0.986971284,0,0,0,50.54379526,17.0376088,0,well
mpe,221.5174129,6793.745069,0.829660063,0.746693027,0,0,0,23.75515404,7.518136672,201.0090422,well
mpe,427.1150746,6936.033,19.58977417,12.54985758,27.41181361,9.688484459,0,78.14972112,30.16989502,0,well
mpe,236.6697741,6654.918532,1.161524077,1.410420157,0,0,0,66.22441563,25.77690092,0,well
mpe,662.0651774,8113.183851,1.659320126,1.700800813,0,0,0,25.03017771,11.90292285,0,well
mpe,792.681809,8060.746373,2.757293801,2.17063244,0,0,0,80.60645866,22.03236564,212.9404451,well
mpe,693.6134134,7732.111124,2.765533719,1.769938977,0,0,0,65.19621536,19.53054024,194.3877058,well
mpe,788.3184916,7058.19026,1.055984856,0.5279917,0,0,0,32.14794229,35.56510504,0,well
mpe,828.615594,7011.319042,1.349314028,1.583975233,0,0,0,37.86464363,11.63228502,0,well
mpe,791.8316185,6759.43767,1.290648151,1.055983401,0,0,0,28.27593205,5.362265819,190.2748121,well
mpe,771.7852097,6367.535865,1.93597224,1.994635339,0,0,0,44.51795438,29.48976275,0,well
mpe,727.6899988,7558.337219,2.43366952,1.438075492,0,0,0,105.1818068,20.0196173,207.2915215,well
mpe,872.017656,7514.644161,1.642643121,1.759972361,0,0,0,31.74498248,9.802659591,0,well
mpe,873.3390128,7527.480311,49.38778073,26.71294958,0,0,0,0,0,0,well
mpe,885.990176,7697.864832,1.078558047,2.07414726,0,0,0,50.80248581,18.36907856,0,well
mpe,908.9072701,7763.309518,1.642643121,1.583975233,0,0,0,39.00813605,16.76056916,0,well
mpe,768.6326424,7793.96317,2.558286681,2.145656673,0,0,0,40.60772587,44.90568754,0,well
mpe,600.0369782,7058.032603,1.659320126,1.991181362,0,0,0,71.79796406,17.2079901,249.606081,well
mpe,991.7325393,7472.954511,2.405298937,2.639958661,0,0,0,83.83442362,31.20445215,0,well
mpe,984.1620992,7330.697851,2.111969712,1.935969594,0,0,0,33.35143565,11.96763816,0,well
mpe,927.9760178,7019.991327,2.346633087,2.229298317,0,0,0,53.51488162,14.67351693,246.191411,well
mpe,990.612069,4713.788839,3.290984838,1.161522437,0,0,0,67.36126952,14.36112288,31.84363967,well
mpe,782.823061,6344.946501,2.847125398,2.269444683,0,0,0,37.48332985,22.77027944,0,well
mpe,393.4351918,6109.431654,2.54141108,3.303830094,0,0,0,27.80810401,13.72734028,0,well
mpe,548.6745064,6007.659894,2.668481643,2.414337024,0,0,0,24.82565824,22.57677907,0,well
mpe,519.4518309,6034.296653,2.223734764,2.414337024,0,0,0,19.86941664,14.41500644,0,well
mpe,634.2531091,5986.728072,1.77898778,1.71545013,5.158519986,1.522532585,0,22.80533983,5.523044542,290.1092744,well
mpe,1081.304721,6335.071597,2.362421885,1.889934926,0,0,0,69.09255984,22.85139761,207.8881208,well
mpe,1023.112296,5993.626176,2.875278387,2.246308141,0,0,0,58.1252509,43.16540293,0,well
mpe,1111.4069,5272.454329,15.56614327,17.98045929,0,0,0,0,0,0,well
mpe,283.8972825,6243.459144,1.361627181,3.822949468,0,0,0,30.25219037,13.99579078,0,well
mpe,895.4528295,6278.410853,1.86733607,1.808979306,0,0,0,49.05572735,22.89912078,0,well
mpe,996.9552151,6226.639382,1.984044571,1.575562542,0,0,0,52.00984794,19.28944823,0,well
mpe,920.7759796,6331.733968,4.134238107,2.598660642,0,0,0,70.36705931,34.30853345,321.7895657,well
mpe,941.6787274,5835.587514,3.053439013,3.796161994,0,0,0,39.06393177,18.67642016,192.1373572,well
mpe,935.3651465,6034.007848,2.362421885,0.944967463,0,0,0,84.11714087,26.65540341,0,well
mpe,802.5035094,5835.551695,1.402931364,1.733030449,0,0,0,40.40663576,14.08109425,0,well
mpe,591.9371851,6282.810859,2.275815929,1.400500055,0,0,0,89.16339191,27.01029924,223.5516263,well
mpe,1077.520394,4592.578568,5.859301317,4.208788165,18.1763969,8.172924156,0,39.34069646,28.52228743,0,well
mpe,917.9413068,4652.263623,2.723337441,2.063131465,0,0,0,75.21621754,18.98187929,42.32333989,well
mpe,883.6333457,6210.567403,3.18926948,2.716781066,0,0,0,85.475634,39.62000048,221.9832893,well
mpe,867.1712478,4685.15047,2.640812021,2.805858865,0,0,0,35.67295068,12.113204,0,well
mpe,686.2744987,6226.865022,1.312970703,1.137906311,0,0,0,35.89894663,12.86813294,225.2035036,well
mpe,969.5684005,5990.123741,3.301014927,2.640808238,7.659391334,3.02263527,0,18.61609279,15.06180625,0,well
mpe,690.3029752,5845.081898,3.661753926,1.771814026,0,0,0,56.90403185,27.18629852,348.9308306,well
mpe,642.359083,6028.401051,2.362421885,1.771814026,0,0,0,142.9595472,23.08535246,0,well
mpe,640.0199298,6209.856453,1.771816407,1.063088416,0,0,0,65.17600206,10.41756195,223.0441232,well
mpe,369.3098129,6124.728016,2.287270033,1.651914994,0,0,0,39.92440891,13.10576234,0,well
mpe,521.0881692,4413.397917,1.432022698,3.231144555,0,0,0,84.94168515,26.74406162,44.63472818,well
mpe,828.9975211,3756.415553,1.432022698,2.442335656,0,0,0,81.93518679,11.7949077,0,well
mpe,501.926575,4447.038552,1.432022698,1.520538496,0,0,0,14.90413929,13.22060505,0,well
mpe,548.5776529,4387.377674,1.432022698,0.633557671,0,0,0,31.257962,3.523448701,0,well
mpe,768.1760763,4214.770702,1.432022698,1.388778114,8.770440445,3.017272262,0,9.358803455,8.96894764,16.82845824,well
mpe,823.3440811,3643.877345,1.432022698,1.34397897,0,0,0,30.80973816,25.00369236,0,well
mpe,878.1054922,3617.223973,1.432022698,1.971168967,0,0,0,84.6775394,33.84735234,0,well
mpe,723.7948889,3754.161494,3.461156105,2.701386549,18.97589845,3.538945986,50.09815779,11.53756509,10.60822607,0,well
mpe,678.9345808,4045.498227,1.432022698,1.703566317,0,0,0,27.82941864,11.86846406,0,well
mpe,1074.748454,3826.314562,1.432022698,2.419162019,0,0,0,58.39533184,35.17269968,33.72366205,well
mpe,1095.13507,3791.963582,1.432022698,1.926369823,0,0,0,36.95326458,15.20738368,0,well
mpe,936.7414897,4030.199442,1.432022698,2.060767546,14.90419044,1.360987146,83.19452267,7.573143065,7.7357989,0,well
mpe,662.6325289,4062.334348,1.432022698,0.619478663,0,0,0,25.51127792,10.75883162,53.78315283,well
mpe,489.9241245,4047.451963,1.432022698,1.520538628,0,0,0,31.17242718,11.73102895,8.927288523,well
mpe,916.3829878,4153.893749,1.432022698,1.703566317,0,0,0,18.14558751,12.53036423,0,well
mpe,778.3844319,3889.475116,1.432022698,1.332334605,0,0,0,61.12394057,52.776245,167.9696842,well
mpe,1087.865719,4215.244415,1.432022698,2.578021105,14.40196993,3.481062866,82.57070835,0,0,0,well
mpe,862.2123666,4152.594901,1.432022698,1.140403845,0,0,0,18.22352492,18.87730283,0,well
mpe,2151.223904,10217.81008,4.026616985,3.716871926,28.17783174,5.692280596,259.2935424,34.98973255,27.61949679,0,well
mpe,2185.881207,10338.37238,1.754008732,1.252861656,0,0,0,35.39416726,12.62038929,0,well
mpe,2030.912041,10450.57479,1.358392464,1.004027913,0,0,0,31.2770576,13.87279081,0,well
mpe,2138.522449,10394.27762,2.126179848,1.181209315,0,0,0,52.50148559,15.09832856,242.1999242,well
mpe,2356.739413,10243.36206,1.889937439,1.181209315,0,0,0,49.97300495,28.49171161,226.7641443,well
mpe,2138.620088,9897.153658,2.032667208,2.03266443,0,0,0,66.11566743,32.30777863,0,well
mpe,2218.421227,8890.160364,1.334240795,1.423188102,0,0,0,56.06942864,18.73384036,0,well
mpe,2235.632784,8877.341082,3.585112602,1.934071209,6.586727848,2.570126214,0,10.57045933,8.935960524,0,well
mpe,2188.11261,10037.46862,3.899596084,3.019037888,0,0,0,85.38107862,35.72441349,0,well
mpe,1941.937012,9044.129263,1.195037552,1.195035911,0,0,0,46.29892944,31.18208893,204.7271038,well
mpe,2203.580316,8676.463978,1.530452671,1.530450528,0,0,0,21.45291968,15.80186245,0,well
mpe,1373.676547,8647.281443,1.320830918,1.163587589,0,0,0,37.25245611,17.83238344,0,well
mpe,1582.781906,8335.819928,0.817657293,1.06924265,0,0,0,43.93225267,7.798778398,0,well
mpe,1339.953826,8669.21355,2.119088221,1.765904531,0,0,0,98.23341327,24.23981227,194.937897,well
mpe,1510.415389,8715.997525,0.978443207,0.778306052,0,0,0,29.84632086,7.655746796,0,well
mpe,1357.250227,8703.475711,3.178632437,2.354539472,0,0,0,59.46482644,38.45028005,0,well
