surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
mpg,18.25979207,557.778544,3.511263814,3.936832888,0,0,0,43.52719424,29.32685765,0,well
mpg,102.5597233,1015.162353,3.298459698,2.766423082,0,0,0,43.7345443,41.00499592,0,well
mpg,982.7820877,2514.28378,12.94083362,16.92830538,34.8332854,8.645357445,0,66.81087529,19.28038412,0,well
mpg,651.3663745,2750.022904,3.617666004,3.192026816,0,0,0,41.58316314,100.0767708,0,well
mpg,1155.065299,2211.660367,3.159976248,3.385655784,0,0,0,31.03067249,55.16446057,195.5908808,well
mpg,1373.303935,1988.934406,8.35136544,6.395127238,31.04045818,6.909660507,0,28.50673903,22.57391375,236.2544169,well
mpg,1722.639147,1884.977899,4.681684997,4.788040092,0,0,0,47.31843162,62.48372293,0,well
mpg,2052.386177,2032.353299,12.34255989,12.87457481,56.53554514,11.07844323,0,54.64737922,47.89017818,0,well
mpg,589.631128,3073.902992,7.767340843,9.682481051,29.36703146,16.81919344,0,44.96312203,43.81730709,0,well
mpg,269.3358725,2736.826534,8.618556249,14.47052167,67.42463511,7.636420096,0,74.33528853,19.06692844,0,well
mpg,430.8912956,1867.855095,4.73996424,3.761839583,0,0,0,43.7670642,20.40986791,0,well
mpg,469.6209103,422.3649897,4.815201953,4.58944463,0,0,0,36.16546902,60.18558666,0,well
mpg,1270.774028,1483.327298,4.947689415,3.990033454,0,0,0,51.93533029,44.06355232,0,well
mpg,1265.315145,1346.95703,5.492339512,3.61136601,0,0,0,50.99439811,32.35452475,0,well
mpg,1749.845619,1729.697021,3.245259132,2.287619073,0,0,0,36.91434448,40.83414046,0,well
mpg,409.3816163,481.2705215,6.244715049,4.664681284,0,0,0,38.40499946,33.07432109,27.14391361,well
mpg,588.9786546,253.6262644,1.915234743,2.660022214,0,0,0,24.22315765,37.54227007,0,well
mpg,914.2292716,1529.489962,7.128929554,6.384053632,30.69132021,10.91113187,247.211141,21.03607947,27.43682065,245.7922854,well
mpg,1330.388736,2013.03433,3.564464645,3.138826514,0,0,0,25.69407257,43.96307765,0,well
mpg,1619.545608,2191.221194,4.965676848,4.363733609,0,0,0,51.46988349,46.39806431,0,well
mpg,682.3725178,696.4874234,8.19890273,16.65030634,86.76965497,23.24170185,0,102.447114,40.80695422,0,well
mpg,821.0988179,2942.516433,2.606847207,2.872823949,0,0,0,17.39719965,16.53061464,0,well
mpg,1003.157477,358.6058239,4.754071295,4.944185802,0,0,0,67.54400257,23.84245437,0,well
mpg,2229.544749,2105.918438,4.563908104,4.658944324,0,0,0,39.6539927,33.19693662,0,well
mpg,602.4717714,1032.762002,3.936871517,2.979225081,0,0,0,57.37979513,50.73846668,0,well
mpg,867.2217714,1693.81252,9.044165275,8.405670112,0,0,0,81.39008433,69.3329629,0,well
mpg,1028.156433,1709.827297,6.490517735,6.49045397,0,0,0,84.5571061,75.07524591,0,well
mpg,1224.482308,1340.941983,2.482838424,2.407577296,0,0,0,61.39014964,33.63627963,0,well
mpg,955.7985554,372.2775672,6.400182368,7.196211245,0,0,0,62.9701809,56.21477304,0,well
mpg,1336.870128,269.1765179,10.38277865,12.48930786,43.67827834,19.86744835,0,84.48812387,45.33707848,0,well
mpg,1514.57591,537.3949916,7.448135066,5.745647898,0,0,0,38.4560488,31.77573835,0,well
mpg,2096.128301,1720.95513,12.87463434,15.21532748,72.29892812,17.28613061,0,82.79716821,29.78163736,245.9038317,well
mpg,2019.584524,1268.875008,4.476632644,4.438970793,13.41809813,2.824345408,210.725386,22.71532765,6.866939015,0,well
mpg,2059.367081,1360.335774,4.522082505,5.054042128,11.37748987,5.497259542,0,18.37498141,22.02917387,0,well
mpg,1947.495019,1022.14316,6.59691966,3.724030888,0,0,0,49.46452367,51.12601371,0,well
mpg,292.6547792,548.7312244,6.59691966,4.575238092,0,0,0,35.39171232,39.67303151,0,well
mpg,2333.973889,606.3148591,4.25607703,4.149634623,0,0,0,54.58923077,59.92509132,0,well
mpg,2234.389001,1784.342858,11.28562935,10.53315089,38.72330801,14.37150071,0,46.18164856,34.38179397,0,well
mpg,2674.289169,693.0229595,4.73996424,3.536129356,0,0,0,71.0289477,64.50331227,0,well
mpg,2595.440564,468.692921,3.085656111,2.500420754,0,0,0,42.21176773,8.265832154,0,well
mpg,2458.856874,627.3247529,8.727553209,8.652230829,36.44007646,10.63872383,0,31.28705696,17.14400212,0,well
mpg,2424.970337,377.996247,6.490517735,7.448062306,35.50153449,9.517779604,0,18.15674599,19.1843711,0,well
mpg,452.1132399,285.6786094,16.38588863,22.13139762,73.91271029,11.33733882,0,90.72385834,37.78982126,0,well
mpg,2194.929611,640.9853517,3.404862153,3.61763055,0,0,0,31.33185456,27.27027386,0,well
mpg,2337.200107,637.7319672,4.138063864,3.460892702,30.79459294,7.124441723,0,9.74436479,15.81156271,0,well
mpg,2790.328157,1711.709635,6.064910296,5.852048766,34.5822218,3.472986917,0,70.52020151,25.08590711,224.9094124,well
mpg,2138.311718,1413.7566,6.703322115,6.171251632,0,0,0,68.1933452,69.89911924,0,well
mpg,2639.577876,590.1585249,4.965676848,4.9656279,0,0,0,59.48688395,44.97710838,0,well
mpg,2972.239705,1193.326645,5.745704254,4.894440959,0,0,0,44.29554248,66.39017314,0,well
mpg,115.7931282,467.2209057,10.53325381,7.598915556,0,0,0,64.32990032,17.5139189,0,eff
mpg,467.7226626,2161.81229,5.341864617,5.642759639,0,0,0,64.52426762,52.80741843,0,eff
mpg,693.3021482,2391.594079,11.28562935,14.82164811,0,0,0,98.11300563,26.30776033,0,eff
mpg,707.6958596,2349.571362,5.868527281,7.975099884,0,0,0,58.35086825,13.80514098,0,eff
mpg,751.7809854,2802.318932,3.404862153,3.192026816,0,0,0,117.0523248,54.69780667,0,eff
mpg,1028.241355,2586.998821,9.788977962,11.06569286,20.78162015,7.499585339,0,37.58395779,20.20007321,0,eff
mpg,1300.164338,2957.491133,5.21369489,8.671672942,0,0,0,45.60312871,8.538780071,0,eff
mpg,1136.50414,2465.2727,3.987588968,4.438970793,0,0,0,32.00372487,18.76815795,0,eff
mpg,1276.83173,1884.316066,6.064910296,7.235260836,0,0,0,83.6362643,10.65808608,0,eff
mpg,1321.409153,2567.861821,11.70421262,13.1937102,0,0,0,85.85166556,15.81232688,0,eff
mpg,1389.685164,2373.650233,5.116151744,3.761839583,0,0,0,56.46394628,39.19706345,0,eff
mpg,2135.640765,2173.979401,4.439014184,5.116101738,0,0,0,37.64781202,7.668263285,0,eff
mpg,325.1560444,2635.981259,5.266626904,7.824626047,0,0,0,64.39453764,9.56919199,205.5536447,eff
mpg,463.033582,1984.292013,4.439014184,3.98754981,0,0,0,40.7323755,31.22042249,0,eff
mpg,271.2173116,1482.732828,4.36247922,6.118051331,0,0,0,39.13718101,8.388471187,0,eff
mpg,1175.524039,1162.51993,4.025207692,2.97185326,0,0,0,48.30787886,9.473880198,0,eff
mpg,2009.237801,1850.933872,4.149675104,3.883632322,0,0,0,44.72413814,12.42305343,0,eff
mpg,1694.086734,1670.681824,3.385688856,3.084708373,0,0,0,16.45496804,8.162609407,0,eff
mpg,2030.20873,1633.940951,3.777268231,3.83043202,0,0,0,37.37801067,12.1118401,0,eff
mpg,375.4873601,439.8371316,5.00089051,4.894440959,0,0,0,31.88376332,29.08109113,0,eff
mpg,283.3430108,221.8796935,5.85210618,5.639247295,0,0,0,62.5722739,13.54361293,0,eff
mpg,621.7955822,261.8373853,3.874732532,3.009471984,8.842922186,3.839082561,0,11.52792764,4.813825274,0,eff
mpg,754.842521,536.6388888,3.777268231,3.990033454,16.81703885,5.420522048,28.16369842,26.08148933,9.959760681,0,eff
mpg,636.2042584,696.5362824,4.309278125,4.309236321,0,0,0,42.3095598,6.208244447,0,eff
mpg,0.712437551,677.4236311,5.116151744,4.739917938,0,0,0,36.37555604,26.090102,0,eff
mpg,97.59426592,401.8737702,3.777268231,4.149634623,0,0,0,30.63895136,11.72562342,0,eff
mpg,519.1865222,543.488698,1.730463232,1.467117427,0,0,0,15.4296292,10.67690826,0,eff
mpg,539.8650244,975.0198766,9.682576036,9.150476184,0,0,0,45.41949547,19.87387029,0,eff
mpg,525.6580407,350.103803,2.128038568,3.085625948,0,0,0,34.79469336,16.73350669,0,eff
mpg,424.2907495,1599.706351,3.245259132,2.128017613,0,0,0,43.2423421,28.86822391,0,eff
mpg,831.1572378,1344.009044,4.965676848,4.9656279,0,0,0,34.43675461,7.238706741,0,eff
mpg,844.0158615,1768.558216,3.936871517,4.894440959,0,0,0,49.0480645,11.95976684,0,eff
mpg,843.885485,1617.346547,4.062826416,4.815154592,0,0,0,22.675558,11.0047095,0,eff
mpg,2265.716794,2165.552126,2.819651429,2.71322278,0,0,0,25.79042577,27.54076215,0,eff
