surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
h5,2303.406056,1071.167649,10.198407,6.6026015,12.84169584,6.981102593,6.816594438,42.20604428,28.26575294,21.9427878,well
h5,2514.473623,1508.113615,3.3749473,3.5260649,2.890486817,1.795525511,7.542382157,6.577269681,11.64450847,18.87154674,well
h5,2339.368283,1097.612157,1.9836038,1.1976476,4.204323938,1.545807065,9.92773072,7.804098003,6.957566426,16.32526847,well
h5,2352.977978,1191.095819,1.3077763,1.2071768,5.855136906,2.301647463,43.88669381,15.20425386,10.68171193,46.42308308,well
h5,2566.345645,1251.198707,1.2135988,1.2392087,0,0,0,17.10974033,6.026597434,35.24070148,well
h5,2265.228415,1242.326916,1.2830167,1.4052088,0,0,0,28.97617177,22.38319997,480.4799486,well
h5,2101.603251,1258.676048,2.0732634,1.0318589,0,0,0,18.20731659,17.12420664,41.27273778,well
h5,2031.65486,1489.619282,0.74904007,0.65310359,0,0,0,16.52919903,5.473532458,516.6985761,well
h5,2231.713402,895.9179874,0.88660908,1.1082524,0,0,0,33.95529721,14.81854169,44.23115051,well
h5,2650.462989,1270.576876,0.89808941,0.93157619,0,0,0,11.09258809,5.250535357,22.76220312,well
h5,2521.785796,1073.626003,1.2554649,1.1181571,0,0,0,40.64756513,16.13396359,450.6688385,well
h5,2258.409566,914.4244458,1.3237306,1.0295681,0,0,0,22.68451614,13.73662175,7.226435464,well
h5,2424.097165,1093.059045,6.7257371,4.8040981,0,0,0,38.52708909,29.80444777,24.41239394,well
h5,2416.310959,1142.143985,0.62982941,0.61483347,0,0,0,11.36381616,6.713601518,467.349282,well
h5,2555.114759,1359.560605,1.0076408,1.0076505,7.83893158,2.08802672,4.663173461,8.983353897,6.923562765,14.3266408,well
h5,2434.653519,1209.464762,1.0285542,0.89997566,0,0,0,14.16645554,7.603738195,0.798309059,well
h5,2222.075465,778.8092461,2.917969,1.98584,7.704844434,2.845863653,13.43026799,15.15766088,13.8313102,4.571804913,well
h5,2241.772796,818.4684067,2.4316409,1.9047855,4.4656224,2.827882913,0.79763951,10.63620805,9.13840555,5.690697995,well
h5,2561.986737,1459.970714,2.4788678,1.625487,5.13525603,2.610732235,5.276408131,13.23022178,4.116870712,18.67942328,well
h5,2374.057608,1281.154295,2.7503598,2.2002878,0,0,0,13.59859701,10.03030396,6.250041316,well
h5,3199.121962,646.2556911,3.2280843,3.3534472,7.649458164,2.318388696,345.2635946,24.46051747,15.4848022,2.528805562,well
