surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
lmp,3795.735607,16806.22383,4.6478586,3.9968274,22.44024549,1.645283231,191.4970195,16.89222065,14.45043603,0,well
lmp,3902.331582,16672.80691,1.332561,1.1462264,2.928735912,1.663503565,0,9.826238532,13.94974113,0,well
lmp,3837.124107,16622.95068,3.4184422,3.242018,0,0,0,103.0417436,20.86265849,204.1740795,well
lmp,3272.797135,17162.12703,3.6258054,3.4077003,0,0,0,70.20569605,15.19516658,231.9558649,well
lmp,3139.286961,16288.69668,9.8160429,7.7115474,0,0,0,247.4986123,48.86538401,219.5411099,well
lmp,3428.173981,16596.8168,3.098979,2.8500767,0,0,0,97.75046267,13.28355229,219.5836765,well
lmp,3111.813801,16529.61256,6.1359787,5.4523201,27.40756327,4.604526774,220.3670114,14.62821434,9.578693054,0,well
lmp,3092.633813,16701.76278,8.6775837,10.514652,65.53809627,7.60701385,202.6659301,37.47046717,35.44072536,0,well
lmp,3625.69018,16676.70575,3.5496688,2.4974072,20.02702105,4.897146535,0,25.29447843,8.872920986,0,well
lmp,3251.498721,15996.25548,31.948889,20.97481,56.22513733,13.89207154,0,122.5015074,41.11951757,0,well
lmp,4075.297032,16459.07208,1.5777426,2.1467416,0,0,0,32.49637119,32.50200975,0.294098029,well
lmp,3090.514473,15768.9365,2.8048756,2.3657968,0,0,0,68.38574902,28.6265019,0,well
lmp,3582.234755,15252.12906,2.1036568,1.7524421,0,0,0,67.73472248,14.0662195,207.8030052,well
lmp,3571.906245,15269.53294,1.4565201,1.0532891,0,0,0,52.00103264,7.920177162,0,well
lmp,3429.637222,19357.66145,2.9363542,3.4610732,20.66559771,4.319138618,0,13.25837943,8.30078242,0,well
lmp,3986.165631,18918.14768,2.9130402,2.1065781,0,0,0,118.3884721,42.96092414,210.0340147,well
lmp,4054.362575,18975.51401,2.1692853,1.9826618,0,0,0,152.8270934,56.23074071,0,well
lmp,4025.306731,18587.12609,4.4702706,3.0667737,0,0,0,126.5022877,36.22002306,201.9242542,well
lmp,3997.684836,18475.72458,4.3826184,3.4172621,0,0,0,80.34447027,11.54330385,0,well
lmp,3863.719002,18387.5899,6.3986225,5.0820818,34.42082145,4.767684359,0,28.07632768,15.65369425,0,well
lmp,3873.960112,18019.62568,2.0160043,1.708631,0,0,0,83.1654215,22.71885286,204.072204,well
lmp,3790.611932,17980.54005,6.8368845,5.038271,28.50096406,4.84366856,0,50.07945747,16.73504762,0,well
lmp,3505.456204,17467.10741,2.7172234,2.6724744,22.22434223,1.801251218,0,13.20409577,8.904952433,0,well
lmp,3516.146076,17911.26316,3.1554852,2.9791515,0,0,0,76.98011903,20.30390517,216.7081434,well
lmp,3376.044137,18732.26896,4.2146115,3.5316164,0,0,0,137.4537733,16.49658055,212.5690025,well
lmp,3516.871402,18663.36236,6.0120192,6.1958179,25.12731946,2.504220786,0,18.25794419,18.21567823,0,well
lmp,3297.39506,18899.1093,4.5864892,3.8414073,0,0,0,451.4911306,24.90852067,213.3176116,well
lmp,3514.838063,19160.10484,3.7690516,2.0153084,0,0,0,107.4984313,105.9184524,0,well
lmp,3707.208242,19493.3374,3.0678329,2.584852,18.69494867,2.295106227,0,17.73827388,11.34545141,0,well
lmp,3849.334785,19533.48177,1.8626127,1.621009,10.40894656,1.224073639,0,13.36461875,11.41700721,0,well
lmp,3917.316078,15787.8986,3.6375732,2.9353404,27.7880708,3.110102146,0,37.22856918,14.19425554,0,well
lmp,4154.697762,15197.75317,2.0160043,1.7743475,9.97636133,0.984711352,0,6.811152596,8.185906674,0,well
lmp,4316.171373,15120.36379,9.0478687,7.0021648,21.53432398,5.82879855,0,30.58729309,17.78770689,0,well
lmp,4272.500818,15326.99508,2.7172234,2.4096079,0,0,0,59.86289382,60.19166828,4.636160629,well
lmp,4244.314625,15646.91398,34.21273,31.722589,0,0,0,0,0,0,well
lmp,4296.115986,15616.37853,4.4702706,3.4610732,0,0,0,87.62515364,10.186405,193.807296,well
lmp,4129.769601,16140.53525,11.219502,7.8859892,51.30609349,8.358976437,209.2554824,65.78225418,18.70152439,208.0400461,well
lmp,3770.301557,13890.92945,2.5200057,2.2562692,10.11683249,1.606591994,0,10.84929009,4.995766436,0,well
lmp,3586.587196,14026.64994,15.120082,12.270103,42.3988506,12.72347034,212.0749077,86.00791664,27.07855283,0,well
lmp,3611.7797,14386.6111,10.779954,8.9385214,40.26951439,9.317462553,0,91.37964003,26.28605879,0,well
lmp,3632.874499,14770.52877,1.8187866,2.8915293,7.985606289,2.343131226,0,13.74406743,8.419789533,0,well
lmp,3546.240912,21960.72018,25.046223,18.563822,53.80864095,11.56377686,0,125.0903717,35.37184711,0,well
lmp,3570.971066,21543.3218,4.2073135,3.5048842,0,0,0,177.1970203,26.98482713,0,well
lmp,3720.762533,21419.61476,2.2932448,2.2304947,0,0,0,52.25413649,64.95750514,0,well
lmp,3878.920416,20737.56988,3.7690518,3.4172621,0,0,0,194.7585196,23.41517394,0,well
lmp,4222.754975,20746.38513,3.0369997,2.5402853,0,0,0,57.03853292,14.45093154,0,well
lmp,4132.909962,21102.54651,4.8208799,5.0820827,29.80135992,7.906068923,0,26.74303215,16.12372371,0,well
lmp,3597.729291,22943.22405,25.427189,19.384647,53.8121781,13.17010461,0,73.01773197,29.04555283,0,well
lmp,1604.785996,19023.62347,3.1554852,2.6286631,0,0,0,99.61664035,35.13645649,0,well
lmp,2041.853123,16900.37058,31.35923,23.050236,65.62192548,13.28882527,214.0059717,167.7809979,48.52248153,209.4706926,well
lmp,2151.426799,17019.72238,4.8963871,4.2751145,31.57921227,5.194741606,222.7383417,20.87831672,10.0862168,0,well
lmp,1906.370497,16743.90448,10.166892,6.1340194,0,0,0,147.1581981,25.36080046,220.7008431,well
lmp,2054.888082,16361.61082,2.3242345,1.9826618,17.86154238,2.035917117,225.1498332,9.204807152,10.54824595,0,well
lmp,1820.335036,19287.93131,4.0758352,3.6801283,0,0,0,101.3426509,16.93911262,208.884459,well
lmp,2673.389265,22923.63719,16.389952,13.494664,36.50118572,6.646391271,0,57.1067253,36.50850365,0,well
lmp,2044.19212,21764.84313,7.3755713,5.6381946,0,0,0,110.5302024,17.47447257,207.7033637,well
lmp,2586.454827,21854.72989,3.4184422,3.1543958,0,0,0,89.35565295,19.50042826,207.4010751,well
lmp,2600.313951,21898.53774,7.7134094,7.4478784,0,0,0,110.1841064,13.15170447,222.8303839,well
lmp,2533.849431,22191.28236,6.2599382,5.0186129,0,0,0,158.7034883,29.69252246,223.7636052,well
lmp,2441.179213,22163.23885,5.1714897,4.3811054,0,0,0,293.0746397,39.15611422,225.2237336,well
lmp,2116.820506,21376.16341,3.8427346,2.8500767,0,0,0,32.06689204,19.5886302,200.2869687,well
lmp,2260.990051,21436.85593,4.5864897,5.5142784,26.6463997,5.502644392,195.4756122,17.877471,10.12661024,190.654722,well
lmp,2204.361849,21514.94741,1.1466224,1.0532892,0,0,0,18.51958848,16.33129156,0,well
lmp,2537.088535,22622.84165,6.0480137,9.1126986,28.11083268,7.642937322,214.9513336,47.066466,32.09051882,0,well
lmp,2391.644701,12034.64951,4.2949662,3.8115613,0,0,0,102.527558,19.1334477,0,well
lmp,2507.651359,12046.76122,3.7252254,3.242018,28.10096122,5.288280792,209.421977,23.39541884,17.32482161,217.0827051,well
lmp,2568.117362,13238.53065,2.0379176,1.6429145,59.45640996,15.28388355,202.3067806,77.01620292,71.65082743,202.4692572,well
lmp,2372.977004,11602.12584,9.0716705,6.3966594,17.15992526,4.546984621,209.5120269,25.72422522,24.31432532,0,well
lmp,2616.013494,13242.82836,7.3755708,6.1958179,19.4575249,3.787053115,212.376509,29.03823125,19.86637221,0,well
lmp,2312.318548,11604.09711,12.704789,10.905519,0,0,0,125.0968197,16.89285655,222.7327566,well
lmp,2679.318478,20442.95775,2.9750199,2.9120345,37.10410444,5.567092412,222.9662326,34.59441228,19.07046339,0,well
lmp,2493.693818,19785.43837,4.0286732,4.460989,0,0,0,25.65808437,3.652021702,0,well
lmp,2794.374255,20049.93644,7.0036931,7.373024,24.8264436,4.822709021,212.9682483,26.17935703,21.20822796,203.1051202,well
lmp,2739.148573,20418.68969,1.921367,2.4163692,30.55962567,4.483435811,0,63.61437846,17.62277276,0,well
lmp,3153.163796,19839.11459,3.6813993,3.2858291,47.79046113,4.668382924,0,72.30565552,32.56860156,0,well
