surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
mun,766.954877,3872.2121,4.1236053,3.9056351,0,0,0,137.7220279,59.26822983,286.7456069,well
mun,867.90373,3879.952293,1.8091791,1.8070136,0,0,0,30.5217076,14.4209831,510.0121878,well
mun,1147.359283,4031.956333,1.980503,2.1919847,0,0,0,31.18840326,8.880608092,521.5339693,well
mun,1386.981546,4308.855102,2.6906898,3.3361692,0,0,0,47.63931053,23.7991179,496.2361742,well
mun,972.1336118,4044.921064,1.4710374,1.7631425,11.2564944,3.638731326,487.2138704,17.34450631,11.03283686,485.0643971,well
mun,1106.412729,4123.420282,3.6649203,2.8956463,0,0,0,115.1661871,52.10289536,538.3307106,well
mun,1086.372986,3967.928547,4.2195215,5.3891368,14.73966049,4.350857715,502.0597713,17.49350725,15.25867069,508.224362,well
mun,938.0245767,3713.258169,1.7617657,1.5197039,60.05930443,20.06831368,295.910907,123.3166235,66.781298,304.9328708,well
mun,1069.09422,4192.618868,4.1629467,5.1377578,49.85871612,12.84900032,481.2310823,77.50662614,50.51927866,316.0870694,well
mun,1080.487753,3080.299707,5.3529453,6.3974223,19.52933505,7.202054458,308.3939123,49.12101855,26.73056043,291.3642204,well
mun,643.54014,2939.734182,12.656712,8.1082058,0,0,0,23.85856125,6.310515158,281.4808457,well
mun,681.5637692,2930.198465,8.3536549,6.3584366,0,0,0,26.81010488,7.209463715,288.2168325,well
mun,1024.808193,3438.257074,0.7789371,0.75945067,0,0,0,11.2632998,8.251912125,325.6242537,well
mun,1065.238936,3442.773792,3.764473,3.7343574,0,0,0,25.07541871,8.593395418,285.7164908,well
mun,637.9337048,3171.075066,0.95071507,0.82395309,0,0,0,201.155359,218.2585845,241.5866376,well
mun,1675.834688,3199.618156,2.7773223,1.7192948,0,0,0,32.30606292,6.433849223,300.1828457,well
mun,2240.111017,3026.388869,8.6091156,13.073102,84.01936624,24.44257713,298.8382654,0,35.11908117,0,well
mun,1727.601021,3575.980471,1.2463716,1.3102881,28.86533242,2.45497022,289.0748515,53.11625138,25.8077131,283.4919034,well
mun,2232.287275,3081.791749,2.5839138,2.2550521,8.647208175,3.52456298,465.7621117,13.10030751,21.17225408,480.6147699,well
mun,2097.952533,3105.60497,1.8527257,1.9575971,10.14196271,3.311778747,4.905005465,11.48980844,11.69106702,0.124353637,well
mun,1849.75122,3307.974543,0.88645667,1.440492,11.5842798,5.630897455,329.5921234,14.34814275,13.90962045,339.1088583,well
mun,2168.523433,2994.180581,0.68872559,0.61241651,30.30869176,3.136831104,333.8066497,17.8340981,29.05560055,330.4061031,well
mun,1720.903368,3512.247954,4.7754822,3.6518393,0,0,0,15.62650824,11.37330118,299.5887961,well
mun,1644.295862,3109.469497,4.1447458,3.063508,24.51201837,11.43647051,274.7174146,65.15029924,12.14241072,271.9600609,well
mun,1531.709447,3322.121604,2.6373243,2.3138604,55.15012685,16.43106443,295.3845124,104.8290916,50.65204131,289.5244832,well
mun,2078.732347,3127.106881,2.2440968,2.684942,6.67498723,3.566719933,326.4437064,12.84194771,8.339303629,303.7343113,well
mun,613.3244532,2829.524669,7.6779952,9.5625944,17.55630148,6.661140816,496.4231845,52.06196194,31.72550631,302.4352617,well
mun,390.8822825,2134.196143,12.774037,11.612147,24.18362812,7.565974449,286.8538029,29.71970961,11.80483719,284.0104816,well
mun,1081.687981,2518.431495,2.130152,1.5862834,12.53401945,4.070007211,288.1407066,17.31597173,19.02718611,288.4825837,well
mun,786.5107002,2470.928091,0.6139158,0.86092019,18.76477371,5.885801187,293.8753025,20.77918233,58.04933932,318.1509851,well
mun,938.6903824,2109.274304,11.120797,9.7386713,8.351125599,4.299753607,457.3980803,8.293185366,27.30893864,350.4696996,well
mun,974.3478065,2179.575381,5.6221051,3.7987196,0,0,0,19.81054881,12.35588471,464.6879438,well
mun,859.3370748,2832.456755,4.9335146,4.301013,0,0,0,15.34441796,7.540542204,480.8426686,well
mun,849.8385835,2732.491969,9.0447769,6.9575205,0,0,0,29.05644757,7.753787228,87.92554172,well
mun,974.2658321,2346.299424,5.9070554,3.3779418,0,0,0,23.11231997,7.056030051,469.6666441,well
mun,3723.749438,1349.522339,10.887405,10.143546,0,0,0,3.750712553,2.168999047,74.93117182,well
mun,3041.644666,1506.839716,10.574315,13.20679,63.2457372,17.282522,519.6922543,107.3457233,61.83494988,523.4363321,well
mun,2903.129395,1101.217318,20.660637,26.348116,41.24309607,12.1429328,344.6369598,79.99345946,40.24910515,451.1076574,well
mun,2830.666082,782.0288288,16.520931,16.520931,82.45493572,16.52674178,517.4763221,153.3414718,83.22136965,526.3201478,well
mun,3152.736673,930.719104,1.1253556,1.08099,47.64924499,11.75508084,530.2753845,108.1995358,53.35492536,525.6757104,well
mun,3754.26356,1628.509984,0.41470298,0.64090466,13.62730657,6.879789916,490.2695733,18.76339195,11.21687118,489.6300886,well
mun,3782.422077,1602.411435,0.20467713,0.30701569,0,0,0,16.21525663,4.511829614,517.3519282,well
mun,3378.001053,565.1856556,1.3960519,1.0470389,0,0,0,6.535894382,4.279047333,472.4442197,well
mun,2961.334153,1436.464965,5.7628851,6.3278742,0,0,0,34.19122819,11.89270183,516.4651943,well
mun,3281.783677,1556.404758,1.6306243,1.6306243,0,0,0,21.61468596,3.916905509,484.5033759,well
mun,3374.186709,1346.860535,0.85418773,0.97621447,0,0,0,0,0,0,well
mun,3472.660362,1141.462571,0.64312631,0.49180245,11.62893898,1.636123547,499.2430165,10.76435039,9.640125178,495.810174,well
mun,3765.961776,1284.856824,0.82980859,0.65329051,18.85942252,2.469995747,493.9135279,18.54265069,15.60960492,516.1025094,well
mun,3714.716461,1694.64308,0.67979753,0.67979753,19.10657057,5.020062334,472.8497185,21.82715572,44.3910906,475.8141065,well
mun,3161.742293,951.3301863,0.96452302,0.84395766,15.66725189,4.259327002,491.8780869,33.77257932,50.710151,484.2766475,well
mun,2966.113531,1072.16901,8.385025,7.6226315,5.573969931,2.26377076,493.5329246,19.74805808,19.99020552,479.3985204,well
mun,3173.070748,871.897954,0.83262235,0.76601255,5.650954286,2.113651938,491.0265944,11.24238076,14.92635536,495.7329025,well
