surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
piz,1039.325021,2880.216248,36.77249369,41.8696385,0,0,0,0,0,0,well
piz,376.1568973,2178.809664,2.935619295,2.781009301,0,0,0,91.67740582,45.61009471,0,well
piz,1060.369326,3408.503717,8.11158051,13.9050465,0,0,0,120.305367,24.12745789,0,well
piz,690.8258852,3307.620466,2.974246394,2.781009301,0,0,0,64.1309641,24.06270533,0,well
piz,254.1720787,4389.052844,4.20621905,5.954035987,0,0,0,104.9036987,45.63592753,0,well
piz,757.3826819,3008.143643,5.374348908,5.581054501,0,0,0,88.95626272,52.06255243,0,well
piz,761.1433022,2985.804754,5.787760093,4.960937323,0,0,0,78.0622803,48.66582232,0,well
piz,386.2145075,2282.665986,6.924641353,6.924641353,58.10531914,13.89302904,0,50.58394389,17.56365412,0,well
piz,1302.829025,4353.028706,3.325776981,4.073924354,0,0,0,136.3361126,23.15442393,0,well
piz,1116.271679,3445.389743,11.88965158,19.37192631,51.23595494,18.80716718,245.6074392,40.466285,26.53811404,0,well
piz,406.0560944,4328.128303,6.525910167,7.054774548,18.86944904,5.760208695,0,37.54095292,16.48887487,0,well
piz,499.6942871,4653.760524,7.898719518,9.062404276,0,0,0,129.2426866,27.14359404,0,well
piz,887.6757047,2853.583671,7.067275747,10.30952263,0,0,0,40.79617956,15.11819489,327.0455035,well
piz,395.2468031,3469.447554,5.5852383,6.99598475,15.93864036,5.636184112,0,27.78967059,11.57680832,0,well
piz,383.6576331,3546.201464,1.646175541,1.881273133,0,0,0,26.5685259,14.73064823,0,well
piz,1272.645309,1636.324102,9.406716964,10.69974062,52.13650211,16.80554906,0,63.44301379,26.32446457,0,well
piz,2613.470346,4150.668446,17.92272836,27.81009201,106.3910785,33.3599019,0,93.61780578,51.5287432,0,well
piz,3035.770351,3169.868054,7.107288546,9.656282055,0,0,0,194.6126831,18.75260526,0,well
piz,2968.344961,3479.129628,5.134864617,4.916176624,0,0,0,55.25146834,18.20569895,0,well
piz,1400.826668,4045.489116,2.974245894,3.669387169,0,0,0,23.04370632,18.21017966,0,well
piz,1657.871717,2134.155555,5.02561222,7.428888035,0,0,0,59.16816516,22.02905536,0,well
piz,1833.906393,3228.378708,6.025744685,7.107023446,22.80905871,7.54015752,313.6511966,24.4839325,20.52824543,0,well
piz,1959.050666,2797.345445,3.769209265,3.659819969,0,0,0,34.8172624,33.16603683,0,well
piz,2353.666924,4202.032546,58.12230092,91.74190972,0,0,0,0,0,0,well
piz,1487.646675,3193.58576,5.562226601,6.025520585,14.57126797,7.784284067,0,20.0308169,10.65955987,0,well
piz,1876.169713,3369.104959,3.167378787,4.017013356,0,0,0,91.63995031,20.09778208,0,well
piz,2632.009124,3655.825537,5.735753295,7.538137131,16.0834809,4.876856739,0,31.29971907,14.08204231,0,well
piz,1811.043364,2878.386211,2.472100412,2.549258409,0,0,0,56.94047241,45.24908933,0,well
piz,2775.165361,3586.962312,4.712442232,6.566272065,0,0,0,104.4217665,14.651215,0,well
piz,3009.070978,1216.811235,15.40459445,21.30343024,85.84751835,22.25708647,0,55.82330611,40.88624509,0,well
piz,2953.125004,2052.835376,16.22315742,26.57408805,82.7704234,24.60667818,0,71.77360623,42.09417603,0,well
piz,2903.575424,3335.804172,6.44589357,9.941600445,37.24264861,9.571663068,0,71.89198277,13.60675611,0,well
piz,2556.906182,2706.753988,36.4903057,82.81028404,0,0,0,0,0,0,well
piz,2523.849527,2771.736933,12.56403155,16.38725441,0,0,0,113.2395237,25.39035177,0,well
piz,4226.040965,3638.765023,4.585774736,4.585603536,0,0,0,62.62453924,180.0699411,0,well
piz,3317.542249,3851.144855,7.316708739,9.644392655,0,0,0,145.2991576,22.27772458,0,well
piz,4764.132476,3181.210292,39.74338058,62.78748876,0,0,0,0,0,0,well
piz,3056.457603,4140.15639,2.763222801,2.763119801,0,0,0,27.89508649,10.85833426,0,well
piz,3546.960865,2385.668972,5.071809619,6.027745485,19.10278816,7.608216585,0,17.19018849,22.91136094,0,well
piz,4626.973142,2554.331697,9.062741876,12.22177256,37.91542156,8.801242672,0,71.55514879,16.03599155,0,well
piz,3141.235875,3322.30924,32.01060386,57.03494096,0,0,0,0,0,0,well
piz,4563.679472,3218.834742,5.404386807,4.655913634,0,0,0,60.15518614,11.16927113,0,well
piz,4311.767525,2761.957896,12.69906855,17.51935737,76.73575209,18.0193455,0,94.5826693,49.22203407,0,well
piz,4119.294572,2744.839834,1.662888441,1.496543747,0,0,0,38.8941439,25.05100391,0,well
piz,3367.357083,3100.565595,2.577477108,2.494239511,0,0,0,80.23698775,25.66997983,0,well
piz,4110.229883,3194.1575,5.778536593,8.563555394,16.1043318,5.362421874,0,21.56466699,23.8294226,0,well
piz,3201.092921,1674.943483,5.644030398,6.114137882,41.39459849,14.27007757,0,52.69427692,14.24516134,0,well
piz,3206.673455,1707.42476,8.3975865,10.47580563,56.6842149,12.25300328,0,75.24885748,16.08375495,0,well
piz,3121.922451,1763.375513,12.72109555,16.12941542,46.75622797,16.99841968,0,62.52960445,51.62024659,0,well
piz,3173.55165,1786.800379,4.526982638,5.055922319,0,0,0,80.77516193,14.52418752,0,well
piz,3177.087382,2232.538413,32.57075784,42.68138747,0,0,0,0,0,0,well
piz,3596.205001,2583.236751,11.0582076,13.9677415,58.08619799,19.17319815,0,87.25055538,43.70269955,0,well
piz,4497.647676,3386.446833,9.644753155,14.46658948,33.30914391,11.05266695,214.2943966,37.82423161,17.65825814,0,well
piz,5210.793593,2453.885424,3.90778766,5.154761616,0,0,0,93.13175137,14.00839915,0,well
piz,5138.690985,2522.753996,31.88588586,17.54281937,0,0,0,0,0,0,well
piz,5348.002117,1688.40711,24.37474013,24.48305413,124.1355702,52.5188596,0,203.4885346,74.24476137,0,well
piz,5428.033594,2555.285985,4.585774736,5.87897849,0,0,0,110.9005316,18.95260353,0,well
piz,6513.541975,1790.541215,8.348461802,11.40521759,36.89634282,12.81189364,223.3232263,22.30464609,30.05490815,0,well
piz,6496.80247,1765.119329,6.349534273,8.700888289,0,0,0,91.83789425,24.27934057,0,well
piz,6515.530324,1663.786401,3.174767187,3.115858689,0,0,0,91.80114769,26.59553329,0,well
piz,5097.429753,3089.307189,8.583630293,11.40521759,23.05515302,12.97620712,0,26.29702388,32.38165019,0,well
piz,5836.946018,2564.417639,3.783071165,4.697484332,21.66189239,8.73294492,0,28.57881384,19.57252242,0,well
piz,5769.004885,839.8231596,5.526445703,8.583309793,23.54719274,8.006609352,0,42.02428771,20.50683684,0,well
piz,5220.707368,2415.135659,7.482998133,9.145545673,0,0,0,100.1577387,12.84447159,0,well
piz,7687.252086,1804.446871,2.161755023,3.242511384,0,0,0,60.18714246,21.60964169,0,well
piz,7311.353366,2389.474609,2.880807097,2.469171212,0,0,0,27.62013222,21.86400467,0,well
piz,7306.888933,1297.931197,11.88965158,18.95621832,42.83457304,8.309646974,0,76.60698052,104.9092695,0,well
piz,8209.738779,1111.551278,15.75625244,19.5182083,89.40427933,32.40044908,0,100.2466392,35.87962836,0,well
piz,7478.68329,568.2943838,9.583093258,11.2288496,0,0,0,78.75049359,23.38387805,0,well
piz,7995.558742,1746.397238,6.290741675,5.643819098,21.12331981,13.9308962,0,23.6259881,45.22689215,0,well
piz,6963.294305,2480.839192,17.12774939,26.93778704,85.56510179,17.68608086,0,64.49355838,50.85130712,0,well
piz,6766.542432,2233.029851,29.16082296,44.6802354,132.1947942,36.8496396,0,165.0400771,58.08784708,0,well
piz,8100.810197,1526.616727,14.69799447,23.04559818,0,0,0,155.0628484,21.87604974,0,well
piz,6677.85641,1336.494857,11.88965158,16.7114024,0,0,0,120.6942252,17.45076371,0,well
piz,7973.881065,1352.526687,11.97279657,15.79684944,0,0,0,140.3225015,27.20209537,0,well
piz,7250.774568,1580.200674,7.025702749,9.852245948,0,0,0,63.70107861,21.54173741,0,well
piz,6587.776749,794.685215,7.878125418,12.87496354,19.16548859,7.83264708,0,34.41912372,16.91006436,356.9368645,well
piz,6570.162952,1728.751772,8.231497506,7.815284021,0,0,0,54.49043658,21.38796069,0,well
piz,6575.273931,1758.394672,3.325776981,2.327956617,0,0,0,41.1111948,8.445810618,0,well
piz,7925.036153,1351.928901,12.80424154,17.12711039,44.33279852,17.55681543,0,46.86745337,19.81523823,0,well
piz,6565.807967,1694.782716,6.235831477,9.394968664,17.53259738,7.049627114,357.8575778,33.58355726,15.12811853,358.686532,well
piz,9100.620394,976.0575424,6.651553362,8.812978385,0,0,0,97.32271082,19.37304877,0,well
piz,8655.482546,603.2950467,15.13228346,21.61674023,0,0,0,99.72176171,22.56099393,0,well
piz,9659.190605,879.9470559,5.291278211,6.99598475,0,0,0,38.18984913,13.25585767,0,well
piz,9617.203111,883.8344978,3.35114278,3.997705357,0,0,0,31.49642672,6.759807958,0,well
piz,9573.393262,848.1795606,5.071809119,4.946908323,18.23421343,5.688397102,0,14.91816114,19.65887674,0,well
piz,9573.734737,689.4495498,4.19879275,5.071619819,0,0,0,58.84886469,12.55028663,0,well
piz,9149.457957,1338.843299,12.69906755,21.86979822,0,0,0,98.56190266,17.21020176,0,well
piz,9436.769578,1229.870908,5.408862407,5.87897849,0,0,0,99.51511185,24.3145558,0,well
piz,9137.65977,1436.902623,4.703358532,5.173500815,0,0,0,81.06013948,20.3772645,0,well
piz,10174.83508,1648.595906,8.147987109,7.815284021,0,0,0,63.67179624,19.62608407,0,well
piz,10347.90453,1493.153642,3.880270861,3.527387274,0,0,0,68.70658878,19.38912977,0,well
piz,10179.18347,613.8032042,7.981864215,9.976956943,0,0,0,126.7405581,35.80108805,0,well
piz,11194.88276,730.6850336,53.2124311,108.7488361,0,0,0,0,0,0,well
piz,11316.06346,966.6751192,5.056111119,5.761399494,39.4835531,10.97916047,0,66.48864414,31.9679226,0,well
piz,11191.8071,1411.244463,7.878125418,12.93375354,0,0,0,60.51295702,76.1921271,190.8508277,well
piz,463.6174757,3034.769776,9.478462861,12.88690254,0,0,0,70.97215824,34.40953156,0,eff
piz,557.3802593,3064.581012,6.98413105,7.399576836,0,0,0,26.8866711,12.50851431,0,eff
piz,567.134631,3018.316013,5.238098413,6.15245698,0,0,0,28.16113689,12.78503389,0,eff
piz,831.7774466,4578.445672,2.51072731,2.665133605,0,0,0,20.76286806,2.845300153,0,eff
piz,774.2966052,4540.987454,1.229089956,1.174419958,0,0,0,24.24381807,44.8919462,0,eff
piz,854.1702231,3728.176763,4.807107228,5.134672917,0,0,0,25.21047014,12.84436634,0,eff
piz,967.7046504,3710.100605,2.567432308,3.769068565,0,0,0,80.39510501,9.203541172,0,eff
piz,502.0076286,4605.458032,3.332199481,3.550571773,0,0,0,20.95947762,12.09507393,0,eff
piz,493.0465608,5078.824408,3.476391476,4.094263854,0,0,0,42.61747074,14.21681127,0,eff
piz,358.8437019,2897.415216,11.1437486,13.9837925,0,0,0,99.31742002,25.6833322,0,eff
piz,1185.76013,5024.20398,10.39305263,18.04166536,0,0,0,66.8238957,14.80960235,0,eff
piz,81.67379702,3143.610107,11.79926458,22.94215718,0,0,0,0,0,0,eff
piz,1120.039013,1888.705105,4.944200823,4.712266232,0,0,0,74.94542253,30.82166346,0,eff
piz,1227.182431,1933.563443,3.901283861,4.094263854,0,0,0,31.04072438,6.889738415,0,eff
piz,1124.548653,1546.81941,6.025745185,6.875272954,0,0,0,50.48354574,14.07692204,0,eff
piz,1134.187616,3643.095324,2.858366398,2.858259598,0,0,0,29.1538196,13.55156638,0,eff
piz,1127.630953,3879.429035,5.080238618,5.517042903,0,0,0,32.27013355,11.67688597,194.465939,eff
piz,-7.231121037,3905.847935,2.819739699,2.24025762,0,0,0,24.73808136,9.962232675,0,eff
piz,97.86284982,3419.583248,4.096966554,4.20606215,0,0,0,44.1857467,8.722395588,0,eff
piz,182.7773134,3232.557444,3.550704573,3.332075481,0,0,0,25.0051939,11.26102301,0,eff
piz,782.2896035,3288.150033,3.332199681,4.451870741,0,0,0,26.42608404,6.496901889,0,eff
piz,1170.571684,4610.395478,6.334758074,6.798022957,0,0,0,54.94507897,16.04291245,0,eff
piz,679.3461034,4977.576253,1.96995523,2.008506928,0,0,0,20.46620498,8.782356073,0,eff
piz,102.2764253,4658.84114,3.437765277,4.635015834,0,0,0,38.72359822,8.580242609,0,eff
piz,1175.909354,3723.891825,9.312173467,13.30260952,0,0,0,129.6420566,18.56528155,0,eff
piz,349.3922612,4328.908714,2.294301618,2.621961006,0,0,0,24.70988131,9.904642932,0,eff
piz,124.759775,3654.916925,5.954258687,7.046519548,0,0,0,43.27295051,12.15167589,0,eff
