"surface","x","y","rx","ry","StemL","StemW","StemA","FrondL","FrondW","FrondA","group"
"sts",4196.184214,2391.866728,4.20478142,5.9463904,0,0,267.9646957,8.17228262,25.43816674,NA,"well"
"sts",375.1703621,124.1605118,4.77298934,3.33165015,0,0,20.91779364,85.84558596,18.16605698,NA,"well"
"sts",391.2230811,301.0529661,1.53155151,1.92429718,0,0,28.40490968,35.17761954,9.23087821,NA,"well"
"sts",1407.64042,1939.629002,4.82870456,5.25025492,0,0,12.52204857,91.69353061,14.83793196,NA,"well"
"sts",1694.983219,1851.293857,2.12956407,2.30590973,0,0,358.7831381,34.12280148,7.41054153,NA,"well"
"sts",1943.537821,1979.904692,3.62781006,6.59998386,0,0,16.97640477,57.6735442,9.00191737,NA,"well"
"sts",2135.280096,1921.119729,2.56080729,3.91874038,0,0,33.04525303,39.20421169,11.5193443,NA,"well"
"sts",3696.001443,2801.413772,0,0,0,0,10.64889293,58.28133156,19.72803489,NA,"well"
"sts",5473.820883,3650.387746,6.06040606,4.78487941,10.23435041,0,173.2802717,22.39853466,9.56368231,NA,"well"
"sts",419.8498207,318.4752272,2.83217168,1.56282475,0,0,34.42786208,52.97164259,12.51234712,NA,"well"
"sts",510.980301,559.0004434,3.89869353,3.97738277,0,0,10.66692826,25.10015567,7.56765856,NA,"well"
"sts",1104.834176,2491.57534,2.0140914,1.13160597,0,0,4.460015858,32.70956366,11.43523095,NA,"well"
"sts",1176.42577,2128.96054,33.53453999,44.31349941,0,0,6.162823027,61.64090754,7.64611246,NA,"well"
"sts",1642.560765,3499.958272,3.64241458,3.73117337,0,0,352.5267194,42.51778659,7.94192889,NA,"well"
"sts",1714.948761,3193.578773,2.30185498,3.62253884,0,0,16.68755168,19.86781845,5.57783126,NA,"well"
"sts",1928.924077,2471.936537,6.79014673,7.56476446,0,0,18.8758715,49.87866672,17.24412035,NA,"well"
"sts",1990.163184,2827.326033,3.36623842,3.80078963,0,0,6.384935305,32.09131181,15.19002714,NA,"well"
"sts",2492.15275,2012.762315,6.47688374,6.04398563,0,0,35.32047656,52.66214285,15.94026833,NA,"well"
"sts",2525.59825,3835.306473,5.43776893,5.20108045,0,0,344.5887409,84.9716793,11.39103443,NA,"well"
