surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
bish,673.6447305,2910.674086,5.673292877,4.777412174,0,0,0,86.22463451,104.5408683,0,well
bish,1103.36482,2854.291731,4.47891536,3.732353311,0,0,0,74.60932589,74.14146716,0,well
bish,1031.729991,3423.018683,5.374698432,4.926706751,0,0,0,82.88942823,80.63086206,0,well
bish,1302.662122,2866.040068,3.800485367,5.911746212,0,0,0,98.53340764,119.7440931,0,well
bish,1.939471482,2978.60727,4.328330939,4.328242568,0,0,0,66.04941,62.67464071,0,well
bish,1243.580264,2204.121444,6.419778462,5.673177254,0,0,0,88.23578311,115.1674094,0,well
bish,1385.654491,2216.510404,5.673292877,4.329530031,0,0,0,101.2175533,112.0708695,0,well
bish,1483.640416,2322.971552,4.329617872,3.732353311,0,0,0,58.80405274,48.91535539,0,well
bish,1096.349082,1359.203778,6.545280649,5.489478644,0,0,0,112.3620214,88.66941643,0,well
bish,509.2079229,3009.038999,6.793021651,8.285824545,0,0,0,94.86458458,14.12702108,0,well
bish,504.5133183,3322.577029,6.718372907,6.867529901,0,0,0,81.86581387,82.14001147,180.941732,well
bish,13652.63276,10598.31816,5.863815356,4.723532956,0,0,0,77.79081001,90.79756141,0,well
bish,14511.7865,9379.19497,3.570462716,4.261433164,0,0,0,103.1703705,96.53796439,0,well
bish,14547.9092,9454.960505,4.376696241,4.146259252,0,0,0,41.55603402,71.68738429,184.8229638,well
bish,14120.58156,9739.652196,3.570462716,2.764172834,0,0,0,80.0684505,78.89133937,0,well
bish,14179.74186,9828.954591,3.224933835,3.340042395,0,0,0,109.2131176,140.4293261,0,well
bish,14318.83203,9779.26567,2.188348173,2.533825275,0,0,0,93.17653761,80.66841549,0,well
bish,14386.60665,9800.525118,2.931907546,2.768967878,0,0,0,77.99779892,107.4172729,0,well
bish,14533.27413,9876.392831,3.455286687,4.722129077,0,0,0,72.05023791,123.5200111,195.695843,well
bish,14477.52315,9947.936155,2.87940522,2.418651442,0,0,0,60.50759884,73.81058608,0,well
