surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
br5,1928.098512,4274.426921,3.648011215,3.73102106,24.11063422,4.924409556,0,26.86628292,19.04955412,220.3959085,well
br5,329.980164,2489.135506,0.567323337,0.39398207,0,0,0,15.05940399,6.212142495,23.20053637,well
br5,336.1538339,3998.591283,0.787949085,0.851001251,0,0,0,17.14211766,6.510931186,0,well
br5,513.2844739,5362.890146,0.728892339,0.709206096,0,0,0,9.085893557,4.194639266,183.8216354,well
br5,420.8896347,5262.918001,2.769503536,2.281027487,0,0,0,10.80276885,11.60477167,0,well
br5,458.178266,5217.221393,1.529411699,2.350658703,0,0,0,11.5977268,6.97454468,0,well
br5,502.5069744,5177.912863,2.76679288,1.953755448,0,0,0,15.97212586,10.47578045,0,well
br5,471.6347248,4612.881625,1.943722315,3.02548156,0,0,0,12.41196706,10.1653511,0,well
br5,487.8416863,4548.837832,1.788673467,1.666144423,0,0,0,6.519262291,7.417923553,0,well
br5,282.8982513,4413.313103,3.388364479,3.230827859,14.92819163,3.713931173,246.5391163,11.96798043,12.95805124,265.6493342,well
br5,438.2934928,3950.375867,4.730665042,6.158907563,38.80124042,11.02092759,236.6227401,32.49337915,19.20732111,0,well
br5,7.724248317,3975.85632,0.557861467,0.446297656,0,0,0,4.10486933,2.50166182,0,well
br5,511.5711018,4122.138924,2.521533842,2.410007364,7.664631498,1.28171032,0,6.628157519,10.82238865,0,well
br5,56.10405106,4029.425323,0.870263923,0.825650728,0,0,0,10.60923714,5.938217709,207.8077127,well
br5,165.7867322,3467.549519,1.199181512,1.104530371,0,0,0,41.78729215,30.8497762,222.6929194,well
br5,290.836208,4267.407168,2.365332495,2.85630539,36.88551526,11.7339185,226.9320065,31.21547463,18.9145921,0,well
br5,443.284048,2898.11589,9.769936113,6.101917636,0,0,0,0,0,0,well
br5,468.5189834,2912.578349,2.786371518,2.539526461,0,0,0,0,0,0,well
br5,506.0793314,2388.310196,3.191327684,3.342601352,0,0,0,20.40444831,9.445949078,0.333080044,well
br5,1274.708874,3365.248471,0.512590994,0.557174767,0,0,0,11.55883607,5.991410169,194.5786897,well
br5,1285.863363,3359.599267,0.846889547,0.71318371,0,0,0,10.57929598,9.925547292,205.7606918,well
br5,1840.303295,4480.125962,0.668596947,0.71318371,0,0,0,10.98137869,8.766501612,0,well
br5,1851.507938,4611.411169,1.827498425,1.738385198,0,0,0,43.89211973,10.72764393,0,well
br5,2086.841282,3070.459952,0.356585042,0.156008937,0,0,0,7.592985279,6.298713229,0,well
br5,1640.095361,5192.766853,2.005790946,2.094976933,0,0,0,24.55493765,20.72195435,0,well
br5,1304.100494,5309.187358,0.802316357,0.891479696,0,0,0,7.316393451,4.787980174,207.7831343,well
br5,1058.275859,5206.002374,1.693779094,2.228699043,0,0,0,45.84264153,11.30777383,0,well
br5,2050.091322,5306.952681,1.071610727,1.134668211,0,0,0,13.26953965,6.660733958,0,well
br5,2271.8669,5363.002005,1.44982633,1.197705402,0,0,0,17.14644238,9.058438148,0,well
br5,1077.24691,5168.085092,0.846889547,1.047488533,0,0,0,7.627085337,4.332087225,0,well
br5,2332.764202,5717.032243,0.756431125,0.661889865,0,0,0,11.06611866,7.494740197,223.3044598,well
br5,887.8470273,3571.717609,1.134646648,1.166186807,0,0,0,20.63056209,19.67098914,0,well
br5,828.4786259,3567.074282,4.011581786,3.12017858,0,0,0,102.1686857,78.87725062,0,well
br5,1217.076268,3317.461148,8.951100972,8.573049491,29.04029463,15.78976012,0,46.49995262,20.62374687,0,well
br5,1462.122697,4312.703205,4.66465838,4.538672793,0,0,0,46.82361253,14.34961243,0,well
br5,2131.441869,3115.781352,3.214832209,3.656153238,0,0,0,69.587095,14.14372643,0,well
br5,2145.020256,3239.068587,1.51286225,1.32377973,0,0,0,52.78124076,16.0443316,0,well
br5,2088.414308,4319.480974,8.825034688,27.16898814,0,0,0,0,0,0,well
br5,2326.147086,3643.330892,0.850985059,1.008594016,0,0,0,13.1771982,6.548268294,203.5046791,well
br5,2301.532682,3635.166107,1.166164608,0.851001251,0,0,0,15.17598339,8.896103551,201.3525767,well
br5,2345.092321,3569.604684,0.646310352,0.534887776,0,0,0,7.179502185,6.392404173,0,well
br5,2314.599888,3135.976652,1.071610727,0.945556905,0,0,0,16.73253739,9.520126764,16.54642421,well
br5,2310.175791,3122.544205,1.426340167,1.292645442,0,0,0,30.0405231,31.54770059,0,well
br5,1083.86077,5199.59342,1.248047646,1.114349508,0,0,0,14.21207047,7.956532132,0,well
br5,2007.285549,1327.392577,0.758691513,0.781020944,0,0,0,12.72543759,9.469506234,0,well
br5,2246.502444,1578.458924,0.847949388,0.847965528,0,0,0,9.414151782,6.799755116,31.99872524,well
br5,2364.308041,1517.872811,0.981836174,0.75870596,0,0,0,14.17352369,17.44228119,7.444431668,well
br5,2057.871599,336.3937723,0.892578326,1.048799543,0,0,0,17.40505104,12.695909,0,well
br5,1832.582665,1566.771626,1.114328315,1.069775577,0,0,0,8.955607809,9.775007067,0,well
br5,2109.473423,2167.739073,1.361182076,1.071114422,0,0,0,15.13632529,8.967246222,0,well
br5,1440.750334,2497.76954,1.204980729,1.205003695,0,0,0,13.15970585,8.676595266,0,well
br5,1440.165419,2449.758954,0.6917482,0.825650728,0,0,0,8.012953272,6.693090431,41.37512527,well
br5,1996.783064,5886.489603,5.14575184,6.552930882,0,0,0,33.81679221,26.64874048,186.3609991,well
br5,1854.10966,5861.850591,0.823020929,0.598572163,0,0,0,8.294141382,4.523286213,0,well
br5,2045.299885,5826.502843,6.665720375,7.472737637,0,0,0,41.34291611,29.66850985,185.5321354,well
br5,2346.186301,5843.853382,2.152024381,3.958485732,0,0,0,26.47531545,14.06795484,239.5202611,well
br5,2252.84986,5833.578603,3.928493094,6.506325322,0,0,0,36.8186859,24.90314059,219.2486385,well
br5,1176.650175,4719.25882,2.419690902,2.475553175,0,0,0,11.12689791,6.806854359,185.7270461,well
br5,1264.765453,4684.018264,3.597593803,4.93796767,0,0,0,104.8162784,23.29113693,232.6261216,well
br5,2380.270576,5090.236717,1.496401727,1.147263225,0,0,0,31.75074013,18.68960298,0,well
br5,1181.480151,5589.092972,2.369302832,2.369347996,0,0,0,27.86732712,12.43674801,248.6932201,well
br5,767.8927186,4993.628496,4.232463624,4.796883371,19.56819551,14.22422842,238.1769297,82.07801767,38.6952022,0,well
br5,710.3711116,5020.308218,4.888245847,8.429891123,33.09956555,7.478110888,234.2402223,22.62095126,13.68051591,0,well
br5,671.8891502,4876.915531,0.846492698,0.775966424,0,0,0,12.05621305,6.507411922,181.7025282,well
br5,632.9110218,4580.652126,2.945089237,1.957551689,0,0,0,0,0,0,well
br5,1875.363071,4428.42143,3.705698054,3.442558024,0,0,0,15.87408798,17.31953037,0,well
br5,1946.034382,4583.620561,1.591737055,3.279212742,0,0,0,26.12669062,11.76770724,0,well
br5,1915.618783,4684.272921,3.668134894,5.149595177,0,0,0,9.312986016,8.964845577,0,well
br5,1892.705112,5459.53424,2.172494875,2.356441251,0,0,0,11.07568892,8.651710581,0,well
br5,1841.763388,5508.250785,4.489205235,4.140124041,33.52368931,9.553319688,229.4815448,49.47892768,21.05106046,0,well
br5,1860.192227,5509.986123,2.321044155,2.395348733,0,0,0,10.04793179,10.61017896,0,well
br5,1928.099901,5561.448099,2.68005532,3.177732334,0,0,0,25.75311124,14.95639765,0,well
br5,1989.202435,5711.616413,3.169723661,2.416608982,0,0,0,17.92881677,9.707061992,204.2877329,well
br5,1811.702214,5634.456914,3.315429702,2.468983861,0,0,0,7.971832282,4.039438334,0,well
