surface,x,y,rx,ry,StemL,StemW,StemA,FrondL,FrondW,FrondA,group
gm,174.5341634,3722.539568,31.46102974,16.58432845,0,0,0,0,0,0,well
gm,193.9516501,4296.25224,5.882074268,6.447905036,0,0,0,0,0,0,well
gm,165.0562585,3669.539481,16.36438483,10.78411547,0,0,0,0,0,0,well
gm,178.630244,3852.716368,21.19072028,7.579055661,0,0,0,0,0,0,well
gm,58.32799653,3829.93527,20.90292082,25.64971802,0,0,0,0,0,0,well
gm,187.5057723,3629.301533,26.80868641,17.64689802,0,0,0,0,0,0,well
gm,42.73477087,3642.50815,3.318093252,2.941149847,0,0,0,25.86174638,6.909515915,29.8178651,well
gm,91.15442421,3969.070078,32.36775681,19.25048811,0,0,0,0,0,0,well
gm,166.2749048,3987.77292,27.62171659,34.07519772,0,0,0,0,0,0,well
gm,183.085481,4219.049208,25.48876616,16.90428325,0,0,0,0,0,0,well
gm,186.559755,3084.404888,40.73936655,26.98286426,0,0,0,0,0,0,well
gm,91.84049786,2232.986606,47.0565952,38.76284176,0,0,0,0,0,0,well
gm,61.07010006,3328.651431,30.50120344,39.88770985,0,0,0,0,0,0,well
gm,165.8073341,2619.424751,47.08489504,39.14115094,0,0,0,0,0,0,well
gm,196.3151493,2501.852973,17.15605043,14.4040909,0,0,0,0,0,0,well
gm,195.7876138,2220.554359,20.28568627,12.17933455,0,0,0,50.17091761,11.25631447,0,well
gm,204.3138381,2764.868344,20.92661134,13.68765771,0,0,0,0,0,0,well
gm,168.0683836,2023.417997,39.817164,55.35388348,0,0,0,0,0,0,well
gm,48.99308402,1482.092768,42.5523762,34.66178161,0,0,0,0,0,0,well
gm,-1.519886403,1266.401269,34.23386305,32.2087925,0,0,0,0,0,0,well
gm,161.5439341,1591.663451,24.95552809,19.73055208,0,0,0,0,0,0,well
gm,67.21266037,2312.157318,32.20756219,39.56775452,0,0,0,0,0,0,well
gm,161.4440762,3313.815027,25.03664987,15.08274159,0,0,0,0,0,0,well
gm,189.2023659,4254.940844,28.20827931,15.94441991,0,0,0,0,0,0,well
gm,345.4044854,4277.292285,72.69640272,52.03572541,0,0,0,0,0,0,well
gm,419.4281674,3709.956531,24.05617627,15.68613154,0,0,0,0,0,0,well
gm,276.3155257,3809.218873,22.7741851,29.71315257,0,0,0,0,0,0,well
gm,598.2531733,3697.908481,41.17451617,41.9302376,0,0,0,0,0,0,well
gm,831.7436328,3605.537552,34.16127726,22.47339989,0,0,0,0,0,0,well
gm,879.7633093,3665.547668,29.78742905,19.83390706,0,0,0,0,0,0,well
gm,965.2386495,3870.586607,69.3783399,37.48079,0,0,0,0,0,0,well
gm,962.0674242,3722.884838,40.57123178,29.78856675,0,0,0,0,0,0,well
gm,1102.138089,3680.112947,71.71629346,35.97240837,0,0,0,0,0,0,well
gm,1178.618626,3711.094822,20.3610269,23.60461111,0,0,0,0,0,0,well
gm,554.6018996,4443.076553,45.2467288,35.67086803,0,0,0,0,0,0,well
gm,1115.673545,3849.614751,60.47986273,28.95897895,0,0,0,0,0,0,well
gm,1090.36245,3900.996219,26.92180107,18.70269584,0,0,0,0,0,0,well
gm,1084.417745,4246.945624,52.78784586,28.73276814,0,0,0,0,0,0,well
gm,1216.008777,4369.456688,38.23348724,30.76895118,0,0,0,0,0,0,well
gm,228.5929944,4222.436041,31.99426834,21.54362999,0,0,0,0,0,0,well
gm,568.7375559,3847.21009,55.95512,32.80512894,0,0,0,0,0,0,well
gm,513.4122696,4314.895362,37.47936919,34.4642384,0,0,0,0,0,0,well
gm,823.0542725,4053.768801,35.59409124,23.90626838,0,0,0,0,0,0,well
gm,964.6539673,3978.475416,44.7942622,30.01480931,0,0,0,0,0,0,well
gm,1182.443728,3918.662974,43.28603138,27.22448969,0,0,0,0,0,0,well
